"Add","Tilføj"
"Allow Gift Messages for Order Items","Tillad gavebeskeder for ordreelementer"
"Allow Gift Messages on Order Level","Tillad gavebeskeder på ordreniveau"
"Are you sure?","Er du sikker?"
"Cancel","Annuller"
"Do you have any gift items in your order?","Har du nogen gaver i din ordre?"
"Edit","Redigér"
"From","Fra"
"Gift Message","Gavebesked"
"Gift Options","Gave muligheder"
"Item %d of %d","Post %d af %d"
"Message","Besked"
"No","Nej"
"Save Gift Message","Gem gave besked"
"To","Til"
"Unknown entity type","Ukendt enhedstype"
"Use config","Brug config"
"Yes","Ja"
