"Add","Tilføj"
"Add New Role","Tilføj ny rolle"
"Admin","Administrator"
"Allow","Tillad"
"Assigned","Tildelt"
"Attribute Set","Attributssæt"
"Attributes","Attributter"
"Automatically Return Credit Memo Item to Stock","Automatisk lægge kreditnota på lager"
"Back","Tilbage"
"Backorders","Restordrer"
"Catalog","Katalog"
"Category ID","Kategori-ID"
"City","By"
"Company","Firma"
"Country","Land"
"Coupon Code","Kuponkode"
"Create","Opret"
"Create Permanent Redirect for old URL","Opret Permanent omdirigering til gamle URL"
"Customer","Kunde"
"Customer Address","Kundens adresse"
"Customer First Name","Kundens fornavn"
"Customer Last Name","Kundens efternavn"
"Delete","Slet"
"Deny","Afvis"
"Discount","Rabat"
"Discount Amount","Rabatbeløb"
"Edit","Redigér"
"Edit Role","Rediger rolle"
"Email","E-mail"
"Enable Qty Increments","Aktiver antal intervaller"
"Exclude","Udeluk"
"First Name","Fornavn"
"Gift Message","Gavebesked"
"Grand Total","Ordretotal"
"Group","Gruppe"
"Guest","Gæst"
"Label","Etiket"
"Last Name","Efternavn"
"Manage Stock","Administrer lager"
"Maximum Qty Allowed in Shopping Cart","Maksimalt antal tilladt i indkøbskurv"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tilladt i indkøbskurv"
"New Role","Ny rolle"
"Notify for Quantity Below","Advisér for mængde under"
"Order","Bestil"
"Order Comments","Ordrekommentarer"
"Order Date","Ordredato"
"Order ID","Ordre ID"
"Order Status","Ordrestatus"
"Orders","Ordrer"
"Original Price","Oprindelig pris"
"Payment Method","Betalingsmetode"
"Phone Number","Telefonnummer"
"Placed from IP","Afgivet fra IP"
"Position","Placering"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Type","Produkttype"
"Qty","Antal"
"Qty Increments","Antal intervaller"
"Qty Uses Decimals","Antal bruger decimaler"
"Role Info","Rolleinformation"
"Role Information","Rolleinformation"
"Role Name","Rollenavn"
"Role Users","Rollebrugere"
"Roles","Roller"
"SKU","Varenummer"
"Sales","Salg"
"Save","Gem"
"Shipping Amount","Fragt beløb"
"Shipping Method","Leveringsmetode"
"State","Stat"
"Stock Availability","Lagerbeholdningen"
"Stock Status","Lagerstatus"
"Store Name","Butiksnavn"
"Street","Gade"
"Tax Amount","Momsbeløb"
"Tax Percent","Momsprocent"
"Tax Rate","Momssats"
"Total Due","Skyldig i alt"
"Total Paid","Betalt i alt"
"Total Refunded","Refunderet i alt"
"Update","Opdater"
"ZIP/Postal Code","Postnummer"
