"Action","Handling"
"Add Sitemap","Tilføj sitemap"
"Always","Altid"
"CMS Pages Options","CMS-sider"
"Categories Options","Kategorier"
"Daily","Daglig"
"Edit Sitemap","Rediger Sitemap"
"Enabled","Aktiveret"
"Error Email Recipient","Fejl: e-mailmodtager"
"Error Email Sender","Fejl: e-mailafsender"
"Error Email Template","Fejl: e-mailskabelon"
"Filename","Filnavn"
"Frequency","Hyppighed"
"Generate","Generer"
"Generation Settings","Genereringsindstillinger"
"Hourly","Hver time"
"Last Time Generated","Sidst genereret"
"Link for Google","Link til Google"
"Monthly","Månedlig"
"Never","Aldrig"
"New Sitemap","Nyt sitemap"
"Path","Sti"
"Please create the specified folder ""%s"" before saving the sitemap.","Opret mappen ""%s"" før du gemmer sitemappet."
"Please define correct path","Angiv venligst en korrekt sti"
"Please make sure that ""%s"" is writable by web-server.","Sørg for at ""%s"" er skrivbar for serveren."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Brug kun bogstaver (a-z or A-Z), tal (0-9) eller underscore (_) i filnavnet. Ingen mellemrum eller andre tegn er tilladt."
"Priority","Prioritet"
"Products Options","Produktmuligheder"
"Sitemap","Hjemmeside kort"
"Sitemap generate Warnings","Sitemap - advarsler for generering"
"Start Time","Starttidspunkt"
"Store View","Butiksvisning"
"Weekly","Ugentlig"
"Yearly","Årligt"
