"ALL","ALLE"
"ANY","ENHVER"
"Add","Tilføj"
"Apply","Anvend"
"Conditions Combination","Betingelses kombination"
"FALSE","FALSK"
"If %s of these conditions are %s:","Hvis %s af nedenstående betingelser er %s:"
"Invalid discount amount.","Ugyldigt rabatbeløb."
"Open Chooser","Åben vælger"
"Perform following actions","Udfør da følgende handlinger:"
"Please choose a condition to add...","Vælg betingelse.."
"Please choose an action to add...","Vælg handling..."
"Remove","Fjern"
"TRUE","SANDT"
"by","af"
"contains","indeholder"
"does not contain","indeholder ikke"
"equals or greater than","er lig med eller større end"
"equals or less than","er lig med eller mindre end"
"found","fundet"
"from","fra"
"greater than","større end"
"is","er"
"is not","er ikke"
"is not one of","er ikke blandt"
"is one of","er en af"
"less than","mindre end"
"not found","ikke fundet"
"not from","ikke fra"
"to","til"
"was","var"
"was not","var ikke"
