"%s and greater","%s og større"
"Advanced Search","Avanceret søgning"
"All","Alle"
"Catalog Advanced Search","Katalog avanceret søgning"
"Catalog Search","Katalogsøgning"
"Don't see what you're looking for?","Kan du ikke finde det, du leder efter?"
"Go","Kør"
"Go to Home Page","Gå til forsiden"
"Grid","Gitter"
"Home","Forsiden"
"List","Liste"
"Maximum Query Length","Maximum længde på forespørgselse"
"Maximum Query Words Count","Maks. antal ord i søgning"
"Minimal Query Length","Minimum længde på forespørgselse"
"Modify your search","Modificer din søgning"
"No","Nej"
"No items were found using the following search criteria.","Der blev ikke fundet nogen varer med følgende søgekriterier."
"Popular Search Terms","Populære søgeord"
"Relevance","Relevans"
"Results","Resultater"
"Search","Søg"
"Search Settings","Søgeindstillinger"
"Search Terms","Søgeord"
"Search Type","Søgningstype"
"Search entire store here...","Søg..."
"Search results for '%s'","Søgeresultat for '%s'"
"Search results for: '%s'","Søgeresultat for: '%s'"
"Subscribe to Feed","Abonner på feed"
"There are no search terms available.","Der er ingen søgtermer tilgængelig."
"Yes","Ja"
"Your search returns no results.","Vi fandt desværre ingen varer, som passer til dine søgekriterier."
"up to %s","op til %s"
