"Add Recipient","Tilføj modtager"
"Allow for Guests","Tillad gæster at bruge denne funktion"
"Back","Tilbage"
"Email Address","E-mail adresse"
"Email Address:","E-mailadresse:"
"Email Templates","Email skabeloner"
"Email to a Friend","Mail til en ven"
"Email:","E-mail:"
"Enabled","Aktiveret"
"Limit Sending By","Begræns afsending til"
"Max Products Sent in 1 Hour","Maks. antal produkter sendt i timen"
"Max Recipients","Maks. antal modtagere"
"Maximum %d email addresses allowed.","Maksimum %d e-mailadresser tilladt."
"Message:","Besked:"
"Name","Navn"
"Name:","Navn:"
"Recipient:","Modtager:"
"Remove Email","Fjern e-mail"
"Select Email Template","Vælg E-mail-skabelon"
"Send Email","Send e-mail"
"Send product to a friend","Send produkt til en ven"
"Sender:","Afsender:"
"Some emails were not sent.","Nogle emails blev ikke afsendt."
