"API Login ID","API Login-ID"
"Accepted Currency","Accepteret valuta"
"Authorize Only","Kun tillad"
"Authorize and Capture","Tillad og fasthold"
"Cancel","Annuller"
"Credit Card Types","Kreditkorttyper"
"Credit Card Verification","Kreditkort verifikation"
"Debug","Fejlsøgning"
"Email Customer","E-mail til kunde"
"Enabled","Aktiveret"
"Invalid amount for authorization.","Ugyldig beløb til godkendelse."
"Invalid amount for capture.","Ugyldig beløb til fastholdelse."
"Invalid amount for refund.","Ugyldig beløb for restitution."
"Maximum Order Total","Maksimumsordre i alt"
"Merchant's Email","Shopejers e-mail"
"Minimum Order Total","Minimumsordre i alt"
"New Order Status","Nye ordrestatus"
"Payment Action","Betalingshandling"
"Payment authorization error.","Betalingsgodkendelsesfejl."
"Payment capturing error.","Betaling fastholdeses fejl."
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra bestemte lande"
"Payment refunding error.","Tilbagebetalings fejl."
"Payment voiding error.","Betaling void fejl."
"Sort Order","Sorteringsrækkefølge"
"Test Mode","Testtilstand"
"Title","Titel"
"Transaction Key","Transaktionsnøgle"
"authorize","authoriser"
"authorize and capture","tillade og fasthold"
"capture","indfang"
"failed","mislykkedes"
"refund","refunder"
"successful","succes"
"void","ugyldig"
