"%s Item(s)","%s vare(r)"
"(Shift-)Click or drag to change value","(Shift-)klik eller træk for at ændre værdien"
"- Click on any of the time parts to increase it","- Klik på en vilkårlig tidsdel for at forøge den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen nede på en af de ovenstående knapper for at vælge hurtigere."
"- Use the %s buttons to select month","- Brug %s-knapperne for at vælge måned"
"- Use the %s, %s buttons to select year","- Brug %s, %s-knapperne for at vælge år"
"- or Shift-click to decrease it","- eller shift-klik for at formindske den"
"- or click and drag for faster selection.","- eller klik og træk for at vælge hurtigere."
"-- Please Select --","-- Vælg venligst --"
"1 column","1 kolonne"
"About the calendar","Om kalenderen"
"Account","Konto"
"Allow","Tillad"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">her</a> hvis der ikke sker noget"
"Close","Luk"
"Close Window","Luk vindue"
"DHTML Date/Time Selector","DHTML dato/tidsvælger"
"Date selection:","Datovalg:"
"Default Description","Standardbeskrivelse"
"Default welcome msg!","Velkommen til butikken!"
"Display %s first","Vis %s først"
"Distributed under GNU LGPL. See %s for details.","Distribueret under GNU LGPL. Se %s for detaljer."
"Drag to move","Træk for at flytte"
"Empty","Tom"
"For latest version visit: %s","For seneste version, gå til: %s"
"Go Today","Gør det idag"
"Help Us to Keep Magento Healthy","Hjælp os med at holde Magento fejlfri"
"Interface Language","Sprog"
"Items %s to %s of %s total","%s til %s ud af %s"
"Left Column","Venstre kolonne"
"Next","Videre"
"Next month (hold for menu)","Næste måned (hold for menu)"
"Next year (hold for menu)","Næste år (hold for menu)"
"Page:","Side:"
"Prev. month (hold for menu)","Forrige måned (hold for menu)"
"Prev. year (hold for menu)","Forrige år (hold for menu)"
"Previous","Tilbage"
"Redirecting...","Omdirigerer..."
"Report All Bugs","Rapportér en fejl"
"Right Column","Højre kolonne"
"Search","Søg"
"Select Store","Vælg shop"
"Select date","Vælg dato"
"Show","Vis"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demoshop. Ordrer afgivet igennem denne shop vil ikke blive gennemført."
"Time selection:","Tidsvalg:"
"Time:","Tid:"
"View All","Vis alle"
"Welcome, %s!","Velkommen, %s!"
"Your Language","Dit sprog"
"Your Language:","Dit sprog:"
"per page","pr. side"
