"Add Minimum Qty","Tilføj minimum antal"
"Allow Qty Below 0","Tillad antal under 0"
"Allow Qty Below 0 and Notify Customer","Tillad antal under 0 og underret kunden"
"Automatically Return Credit Memo Item to Stock","Automatisk lægge kreditnota på lager"
"Backorders","Restordrer"
"By Fixed value","Med fast værdi"
"By Percentage","Med procent"
"Catalog Inventory","Kataloglager"
"Decrease Stock When Order is Placed","Nedskriv lager når ordren er afgivet"
"Display Out of Stock Products","Vis produkter der ikke er på lager"
"Enable Qty Increments","Aktiver antal intervaller"
"In Stock","På lager"
"Inventory","Lager"
"Inventory API","Lager-API"
"Manage Stock","Administrer lager"
"Maximum Qty Allowed in Shopping Cart","Maksimalt antal tilladt i indkøbskurv"
"Minimum Qty","Minimum antal"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tilladt i indkøbskurv"
"No Backorders","Ingen restordrer"
"Notify for Quantity Below","Advisér for mængde under"
"Only X left Threshold","Kun X tilbage grænsværdi"
"Out of Stock","Udsolgt"
"Product Name","Produktnavn"
"Product Stock Options","Produkt lagermuligheder"
"Products will still be shown by direct product URLs.","Produkter vil stadig blive vist ved direkte tilgang af produkt webadresser."
"Qty","Antal"
"Qty Increments","Antal intervaller"
"Retrieve stock data","Hent lagerdata"
"Retrieve stock data by product ids","Hent lagerdata efter produkt-ID'er"
"Rule price","Prisregel"
"Set Items' Status to be In Stock When Order is Cancelled","Sæt produkternes status til at være på lager når ordren er annulleret"
"Stock Options","Lageroptioner"
"Stock Status","Lagerstatus"
"The maximum quantity allowed for purchase is %s.","Maks-mængde tilladt for køb er %s."
"The minimum quantity allowed for purchase is %s.","Min-mængde tilladt for køb er %s."
"The requested quantity for ""%s"" is not available.","Det ønskede antal af ""%s"" er ikke på lager."
"The stock item for Product in option is not valid.","Lagervare for produktet i indstilling er ikke gyldig."
"This product is currently out of stock.","Produktet er i øjeblikket ikke på lager."
"To Fixed Value","Til fast værdi"
"To Percentage","Til procent"
"Update","Opdater"
"Update product stock data","Opdater lagerdata for produkt"
"Update the Product","Opdater produktet"
