"Done","Udført"
"ETA: %s","Forventet ankomsttidspunkt: %s"
"Less than a minute","Under et minut"
"Memory Used: %s","Hukommelsesforbrug: %s"
"Processed records: %s","Poster behandlet: %s"
"Sheet 1","Ark 1"
"Starting %s :: %s","Starter %s :: %s"
"Total records: %s","Samlet antal poster: %s"
"hour","time"
"hours","timer"
"minute","minut"
"minutes","minutter"
