"* Required Fields","* Påkrævede felter"
"Admin","Administrator"
"Authorize","Autoriser"
"Close","Luk"
"Created At","Oprettet den"
"Customer","Kunde"
"Delete","Slet"
"Disable","Slå fra"
"Disabled","Slået fra"
"Edit","Redigér"
"Email","E-mail"
"Email Address","E-mail adresse"
"Enable","Aktivér"
"Enabled","Aktiveret"
"Key","Nøgle"
"Log In","Log ind"
"Login","Log ind"
"Name","Navn"
"Password","Kodeord"
"Permissions","Tilladelser"
"Reject","Afvis"
"Role Name","Rollenavn"
"Save","Gem"
"Save and Continue Edit","Gem og fortsæt redigering"
"User ID","Bruger-ID"
"User Name","Brugernavn"
"deleted","slettet"
