"Action","Akcija"
"All Countries","Sve zemlje"
"Block Information","Blok informacija"
"Collapse All","Skupi sve"
"Content","Sadržaj"
"Custom Design","Prilagođeni dizajn"
"Delete File","Izbriši datoteku"
"Delete Folder","Izbrišite fasciklu"
"Description","Opis"
"Design","Dizajn"
"Disabled","Onemogućeno"
"Enabled","Omogućeno"
"Expand All","Razvij sve"
"General Information","Opšte informacije"
"Go to Home Page","Idi na početnu stranicu"
"Home","Početna"
"Store View","Prikaz prodavnice"
"Template","Šablon"
"Title","Naslov"
