"Add","Dodaj"
"Allow","Dozvoli"
"Attribute Set","Skup atributa"
"Attributes","Atributi"
"Back","Nazad"
"Catalog","Katalog"
"City","Grad"
"Company","Firma"
"Country","Država"
"Create","Kreiraj"
"Customer","Kupac"
"Customer First Name","Ime kupca"
"Customer Last Name","Prezime kupca"
"Delete","Obrisati"
"Deny","Zabrani"
"Discount","Popust"
"Discount Amount","Iznos popusta"
"Edit","Izmeni"
"Email","E-pošta"
"Exclude","Isključi"
"First Name","Ime"
"Gift Message","Poklon poruka"
"Grand Total","Ukupna vrednost"
"Guest","Gost"
"Label","Oznaka"
"Last Name","Prezime"
"Order","Porudžbina"
"Order Date","Datum porudžbine"
"Order ID","ID porudžbine"
"Order Status","Status porudžbine"
"Orders","Porudžbine"
"Payment Method","Način plaćanja"
"Phone Number","Broj telefona"
"Position","Pozicija"
"Price","Cena"
"Product","Proizvod"
"Qty","Kol"
"SKU","Šifra"
"Sales","Prodaja"
"Save","Sačuvaj"
"Shipping Method","Način Dostave"
"State","Država"
"Store Name","Ime prodavnice"
"Street","Ulica"
"Subtotal","Međuzbir"
"System","Sistem"
"Tax Amount","Iznos poreza"
"Type","Tip"
"Update","Ažuriraj"
"ZIP/Postal Code","Poštanski broj"
