"* Required Fields","* Obavezna polja"
"Add New Address","Dodajte novu adresu"
"Add New Condition","Dodaj Novi Uslov"
"Add to Cart","Dodaj u korpu"
"Add to Compare","Dodaj za upoređivanje"
"Add to Wishlist","Dodaj u listu želja"
"Apply","Primeni"
"Apply Coupon","Primeni Kupon"
"Are you sure you would like to remove this item from the shopping cart?","Želite ukloniti ovaj proizvod iz korpe?"
"Back","Nazad"
"Billing Address","Adresa za fakturisanje"
"Cancel","Odustani"
"Cancel Coupon","Otkaži kupon"
"Change","Promena"
"Checkbox Text","Tekst u polju za Potvrdu"
"Checkout","Plaćanje"
"Checkout Conditions","Uslovi Plaćanja"
"Checkout Options","Opcije Plaćanja"
"Checkout Terms and Conditions","Uslovi Plaćanja i Korišćenja"
"City","Grad"
"Clear Shopping Cart","Isprazni korpu"
"Close","Zatvori"
"Company","Firma"
"Condition Name","Naziv Uslova"
"Confirm Password","Potvrda lozinke"
"Content","Sadržaj"
"Content Height","Visina Sadržaja"
"Content Height (css)","Visina Sadržaja (css)"
"Continue","Nastavi"
"Continue Shopping","Nastavite kupovinu"
"Country","Država"
"Delete Condition","Obriši Uslov"
"Details","Detalji"
"Disabled","Onemogućeno"
"Display item quantities","Prikaži količine proizvoda"
"Display number of items in cart","Prikazani broj proizvoda u korpi"
"Edit","Izmeni"
"Edit Address","Izmeni adresu"
"Edit Condition","Izmeni Uslov"
"Edit Terms and Conditions","Izmeni Uslove Korišćenja"
"Edit Your Cart","Izmeni Korpu"
"Edit item parameters","Uređivanje parametara artikala"
"Email Address","Adresa elektronske pošte"
"Enable Terms and Conditions","Omogući Uslove Korišćenja"
"Enabled","Omogućeno"
"Estimate Shipping and Tax","Procenjena dostava i takse"
"Excl. Tax","Bez poreza"
"Forgot an Item?","Zaboravili ste proizvod?"
"Gift Message","Poklon poruka"
"Incl. Tax","Iznos sa PDV"
"Items","Stavke"
"Load customer quote error","Greška prilikom učitavanja ponude korisnika"
"Login","Prijava"
"My Cart","Korpa"
"New Address","Nova adresa"
"New Condition","Novi Uslov"
"New Terms and Conditions","Novi Uslovi Korišćenja"
"No Payment Methods","Način plaćanja"
"Order #","Porudžbina #"
"Password","Lozinka"
"Payment Information","Informacije o Plaćanju"
"Payment Method","Način plaćanja"
"Place Order","Postavite porudžbinu"
"Please agree to all the terms and conditions before placing the order.","Molimo pristanite na sva pravila i uslove pre narudžbine."
"Price","Cena"
"Proceed to Checkout","Nastavi ka plaćanju"
"Product","Proizvod"
"Product Name","Naziv proizvoda"
"Products","Proizvodi"
"Qty","Kol"
"Quantity","Količina"
"Recently added item(s)","Nedavno dodan(i) proizvod(i)"
"Remove This Item","Ukloni ovu stavku"
"Remove item","Ukloni stavku"
"SKU","Šifra"
"Sales","Prodaja"
"Save Condition","Sačuvaj Uslov"
"Save in address book","Sačuvaj u adresaru"
"See price before order confirmation.","Proveri cenu pre potvrde naruđbine."
"Shipping Address","Adresa za dostavu"
"Shipping Information","Informacije o dostavi"
"Shipping Method","Način Dostave"
"Shipping Methods","Način Dostave"
"Shopping Cart","Korpa"
"Show Content as","Prikaži Sadržaj kao"
"State/Province","Region"
"Store View","Prikaz prodavnice"
"Street Address","Adresa"
"Subtotal","Međuzbir"
"Terms and Conditions","Uslovi Korišćenja"
"Terms and Conditions Information","Informacije o Uslovima Korišćenja"
"Text","Tekst"
"The product does not exist.","Proizvod ne postoji."
"This condition no longer exists.","Ovaj uslov više ne postoji."
"Total","Ukupno"
"Update","Ažuriraj"
"Update Cart","Ažuriraj korpu"
"Update Shopping Cart","Ažuriranje korpe sa artiklima"
"VAT Number","PDV broj"
"View Shopping Cart","Otvori Korpu"
"What's this?","Što je ovo?"
"You have no items in your shopping cart.","Nemate artikle u korpi."
"Zip/Postal Code","Poštanski broj"
