"Actions","Radnje"
"Active","Aktivan"
"Apply","Primeni"
"Attribute Set","Skup atributa"
"Catalog","Katalog"
"Category","Kategorija"
"Customer Groups","Grupe kupaca"
"Date From","Datum od"
"Date To","Datum do"
"Description","Opis"
"Discount Amount","Iznos popusta"
"Expiration Date","Datum isteka"
"General Information","Opšte informacije"
"Inactive","Neaktivan"
"No","Ne"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Start Date","Početni datum"
"This rule no longer exists.","Ovo pravilo se više ne postoji."
"Type","Tip"
"Website","Web sajt"
"Websites","Web stranice"
"Yes","Da"
