"--Please Select--","--- Molimo odaberite ---"
"API Login ID","API ID za prijavu"
"Accepted Currency","Prihvaćene valute"
"Authorize.net Direct Post","Authorize.net Direktna pošta"
"Card Verification Number","Verifikacioni broj kartice"
"Close","Zatvori"
"Credit Card Information","Informacije o kreditnoj kartici"
"Credit Card Number","Broj kreditne kartice"
"Credit Card Type","Vrsta kreditne kartice"
"Credit Card Types","Vrsta kreditne kartice"
"Credit Card Verification","Verifikacija kreditne kartice"
"Debug","Otklanjanje grešaka"
"Email Customer","E-pošte kupca"
"Enabled","Omogućeno"
"Expiration Date","Datum isteka"
"Gateway URL","URL adresa mrežnog prolaza"
"Maximum Order Total","Maksimalna vrednost porudžbine"
"Merchant MD5","MD5 prodavca"
"Merchant's Email","E-mail trgovca"
"Minimum Order Total","Minimalna vrednost porudžbine"
"New Order Status","Novi status porudžbine"
"Payment Action","Akcija plaćanja"
"Payment from Applicable Countries","Plaćanja iz privaćenih zemalja"
"Payment from Specific Countries","Plaćanja iz određenih zemalja"
"Sort Order","Redosled porudžbina"
"Test Mode","Režim testa"
"Title","Naslov"
"Transaction Key","Ključ transakcije"
"What is this?","Šta je ovo?"
