"Add","Dodaj"
"Add New Row","Dodavanje novog reda"
"Availability:","Dostupnost:"
"Back","Nazad"
"Canceled","Otkazano"
"Date","Datum"
"Delete","Obrisati"
"Edit","Izmeni"
"Edit item parameters","Uređivanje parametara artikala"
"Excl. Tax","Bez poreza"
"File","Datoteka"
"From:","Od:"
"Gift Message","Poklon poruka"
"In stock","Na stanju"
"Incl. Tax","Iznos sa PDV"
"Invoiced","Faktura"
"List","Lista"
"Message:","Poruka:"
"Order #","Porudžbina #"
"Ordered","Porućeno"
"Out of stock","Nema na lageru"
"Pending","Na čekanju"
"Price","Cena"
"Qty","Kol"
"Refunded","Povraćen novac"
"Remove","Ukloni"
"SKU","Šifra"
"See price before order confirmation.","Proveri cenu pre potvrde naruđbine."
"Shipped","Isporučeno"
"Sort Order","Redosled porudžbina"
"Subtotal","Međuzbir"
"Title","Naslov"
"To:","Za:"
"Update","Ažuriraj"
"Use Default Value","Koristi podrazumevanu vrednost"
"View Order","Pregledaj porudžbinu"
"What's this?","Što je ovo?"
