"* Required Fields","* Obavezna polja"
"-- Select --","--Izaberite--"
"Add New Option","Dodati novu opciju"
"As Low as","Sniženje"
"As low as","Sniženje"
"Bundle Items","Artikli u paketu"
"Checkbox","Polje za potvrdu"
"Choose a selection...","Odaberite selekciju..."
"Click for price","Kliknite za cenu"
"Close","Zatvori"
"Default","Podrazumevani"
"Default Title","Podrazumevani naslov"
"Drop-down","Padajuće"
"Dynamic","Dinamički"
"Excl. Tax","Bez poreza"
"Fixed","Fiksno"
"From","Od"
"From:","Od:"
"Gift Message","Poklon poruka"
"Incl. Tax","Iznos sa PDV"
"Input Type","Vrsta unosa"
"Message:","Poruka:"
"Multiple Select","Izbor više stavki"
"N/A","N/A - nije dostupno"
"No options of this product are available.","Ni jedna opcija za ovaj proizvod nije dostupna."
"None","Ništa"
"Percent","Procenat"
"Percent Discount","Procenat popusta"
"Please enter a number greater 0 in this field.","U ovo polje molimo unesite broj veći od 0."
"Please specify product option(s).","Molim vas da navedete opciju(e) proizvoda."
"Position","Pozicija"
"Price Range","Cenovni rang"
"Price Type","Vrstu cena"
"Radio Buttons","Radio dugmići"
"SKU","Šifra"
"Separately","Posebno"
"Ship Bundle Items","Isporuka artikala u paketu"
"Store View Title","Naslov izgleda prodavnice"
"To","Do"
"To:","Za:"
"Together","Zajedno"
"Use Default Value","Koristi podrazumevanu vrednost"
