"Base URL","Osnovni URL"
"Configuration","Konfiguracija"
"Confirm Password","Potvrda lozinke"
"Continue","Nastavi"
"Database","Baza podataka"
"Download","Preuzimanje"
"Email","E-pošta"
"Email Address","Adresa elektronske pošte"
"Enable Charts","Omogući grafikone"
"First Name","Ime"
"Last Name","Prezime"
"Locale","Lokalno"
"Password","Lozinka"
"Password Confirmation","Ponoviti lozinku"
"Secure Base URL","Siguran osnovni URL"
"User Name","Korisničko ime"
"User Password","Korisnička lozinka"
"Username","Korisničko ime"
