"Advanced Settings","Napredna podešavanja"
"Allowed Credit Card Types","Dozvoljene vrste kreditnih kartica"
"City","Grad"
"Close","Zatvori"
"Company","Firma"
"Configure","Podesi"
"Continue","Nastavi"
"Country","Država"
"Credit","Kredit"
"Custom","Izborno"
"Discount","Popust"
"Display on Shopping Cart","Prikaži u korpi sa kupljenim artiklima"
"Dynamic","Dinamički"
"Edit","Izmeni"
"Email Address","Adresa elektronske pošte"
"Enable this Solution","Omogućiti ovo rešenje"
"Enabled","Omogućeno"
"Learn More","Saznajte više"
"Login","Prijava"
"N/A","N/A - nije dostupno"
"Never","Nikada"
"No","Ne"
"Order","Porudžbina"
"Order ID","ID porudžbine"
"Password","Lozinka"
"Payment Action","Akcija plaćanja"
"Payment Method","Način plaćanja"
"Place Order","Postavite porudžbinu"
"Please agree to all the terms and conditions before placing the order.","Molimo pristanite na sva pravila i uslove pre narudžbine."
"Position","Pozicija"
"Price","Cena"
"Product","Proizvod"
"Product Name","Naziv proizvoda"
"Qty","Kol"
"Require Customer's Billing Address","Zahtevaj adresu kupca za račun"
"Sale","Prodaja"
"Sales","Prodaja"
"Schedule","Raspored"
"Shipping","Dostava"
"Shipping Address","Adresa za dostavu"
"Shipping Information","Informacije o dostavi"
"Shipping Method","Način Dostave"
"Size","Veličina"
"Sort Order","Redosled porudžbina"
"State/Province","Region"
"Static","Statički"
"Street Address","Adresa"
"Subtotal","Međuzbir"
"Test Mode","Režim testa"
"Title","Naslov"
"Transaction ID","ID тransakcije"
"VAT Number","PDV broj"
"View","Pregled"
"Yes","Da"
"Zip/Postal Code","Poštanski broj"
