"* Required Fields","* Obavezna polja"
"-- Please Select --","-- Molim odaberite --"
"A group with the same name already exists.","Grupa sa istim nazivom već postoji."
"A product type is not defined for the indexer.","Tip proizvoda nije definisan za indeksiranje."
"ALL GROUPS","SVE GRUPE"
"AM","Pre podne"
"Action","Akcija"
"Add","Dodaj"
"Add Attribute","Dodaj atribut"
"Add Design Change","Dodaj promene dizajna"
"Add Group","Dodaj grupu"
"Add New","Dodaj Novo"
"Add New Attribute","Dodavanje novih atributa"
"Add New Attribute Set","Dodaj novi skup atributa"
"Add New Group","Dodavanje nove grupe"
"Add New Images","Dodati nove slike"
"Add New Option","Dodati novu opciju"
"Add New Row","Dodavanje novog reda"
"Add New Search Term","Dodaj novi termin za pretragu"
"Add Product","Dodaj Proizvod"
"Add Root Category","Dodavanje kategorije koren"
"Add Subcategory","Dodati podkategoriju"
"Add to Cart","Dodaj u korpu"
"Add to Compare","Dodaj za upoređivanje"
"Add to Wishlist","Dodaj u listu želja"
"All","Sve"
"All Websites","Sve Web lokacije"
"Amount","Iznos"
"Are you sure you want to delete this category?","Da li ste sigurni da želite da obrišete ovu kategoriju?"
"Are you sure?","Da li ste sigurni?"
"Attribute Information","Atribut informacije"
"Attribute Set","Skup atributa"
"Attribute Sets","Atributi skupa"
"Attributes","Atributi"
"Availability:","Dostupnost:"
"Back","Nazad"
"Based On","Zasnovano Na"
"Bottom/Left","Dole/Levo"
"Bottom/Right","Dole/Desno"
"Bundle Items","Artikli u paketu"
"Cancel","Odustani"
"Catalog","Katalog"
"Catalog Price Scope","Opseg kataloga cena"
"Catalog, Search","Katalog, pretraga"
"Categories","Kategorije"
"Category","Kategorija"
"Category Top Navigation","Vrh navigacija kategorija"
"Center","Centrirano"
"Change","Promena"
"Change status","Promena statusa"
"Check items to add to the cart or","Proveriti artikle za dodavanje u korpu ili"
"Clear All","Očisti sve"
"Click for price","Kliknite za cenu"
"Close Window","Zatvori prozor"
"Collapse All","Skupi sve"
"Comparable","Uporedivo"
"Compare","Poredi"
"Compare Products","Poređenje proizvoda"
"Continue","Nastavi"
"Create","Kreiraj"
"Cross-sells","Cross-prodaje"
"Custom Design","Prilagođeni dizajn"
"Custom Options","Prilagodljive opcije"
"Customer Group","Grupa kupaca"
"Data Type for Saving in Database","Tip podataka za čuvanje u bazi podataka"
"Date & Time Custom Options","Opcije podešavanja datuma i vremena"
"Datetime","Datum I vreme"
"Decimal","Decimalni broj"
"Default Price","Podrazumevana cena"
"Default Values","Podrazumevane vrednosti"
"Delete","Obrisati"
"Delete Attribute","Izbrisati atribut"
"Delete Option","Opcija brisanja"
"Delete Row","Brisanje reda"
"Delete Selected Group","Izbriši izabrane grupe"
"Description","Opis"
"Design","Dizajn"
"Details","Detalji"
"Disabled","Onemogućeno"
"Edit","Izmeni"
"Edit Product Attribute","Izmeniti atribut proizvoda"
"Email","E-pošta"
"Empty","Prazno"
"Enabled","Omogućeno"
"Exclude","Isključi"
"Expand All","Razvij sve"
"Failed","Nije uspelo"
"First Name","Ime"
"Fixed","Fiksno"
"Gallery","Galerija"
"General Information","Opšte informacije"
"Global","Globalno"
"Globally Editable","Globalno se može uređivati"
"Go to Home Page","Idi na početnu stranicu"
"Grid","Mreža"
"Groups","Grupe"
"Home","Početna"
"In stock","Na stanju"
"Incl. Tax","Iznos sa PDV"
