"Add","Dodaj"
"Apply","Primeni"
"Remove","Ukloni"
"equals or greater than","jednako ili veće od"
"equals or less than","manje ili jednako od"
"from","od"
"greater than","veće od"
"less than","manje od"
"to","do"
