"Action","Akcija"
"Add to Cart","Dodaj u korpu"
"Add to Compare","Dodaj za upoređivanje"
"Add to Wishlist","Dodaj u listu želja"
"Any","Bilo koji"
"Are you sure?","Da li ste sigurni?"
"Bestsellers","Najprodavaniji"
"Created At","Kreirano"
"Customer","Kupac"
"Customers","Kupci"
"Dashboard","Kontrolna tabla"
"Day","Dan"
"Description","Opis"
"Email","E-pošta"
"First Name","Ime"
"From","Od"
"General","Opšte"
"Guest","Gost"
"Invoiced","Faktura"
"Items in Cart","Proizvoda u Korpi"
"Last Name","Prezime"
"Month","Mesec"
"Name","Ime"
"No","Ne"
"Order Status","Status porudžbine"
"Orders","Porudžbine"
"Out of stock","Nema na lageru"
"Price","Cena"
"Product Name","Naziv proizvoda"
"Products","Proizvodi"
"Report","Izveštaj"
"Results","Rezultati"
"Revenue","Prihod"
"Sales","Prodaja"
"Search Query","Upit za pretragu"
"Search Terms","Pojmovi za pretragu"
"Shipping","Dostava"
"Shopping Cart","Korpa"
"Subtotal","Međuzbir"
"Tax","Porez"
"Title","Naslov"
"To","Do"
"Total","Ukupno"
"Year","Godina"
"Yes","Da"
