"Actions","Radnje"
"Are you sure?","Da li ste sigurni?"
"Date Added","Datum Dodavanja"
"Last Update","Poslednja promena"
"Mark as Read","Označi kao pročitano"
"Message","Poruka"
"Messages Inbox","Sanduče"
"Notifications","Obaveštenja"
"Please select messages.","Molimo odaberite poruke."
"Read Details","Pročitajte detalje"
"Remove","Ukloni"
"Severity","Ozbiljnost"
"Show List","Prikaži listu"
"Show Toolbar","Prikaži traku sa alatkama"
"The message has been removed.","Poruka je uklonjena."
"Update Frequency","Ažuriraj učestalost"
"Use HTTPS to Get Feed","Koristite HTTPS se Get Feed"
"Wrong message type","Pogrešna poruka"
"critical","kritično"
"major","glavni"
"minor","manji"
"notice","napomena"
