"Add Option","Dodati opciju"
"Attribute Code","Kod atributa"
"Date","Datum"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Podrazumevani listing sortiranja proizvoda ne postoji u listingu sortiranih dostupnih proizvoda."
"Default Value","Podrazumevane vrednosti"
"Delete","Obrisati"
"Dropdown","Padajuća lista"
"Email","E-pošta"
"Input Validation for Store Owner","Ulazna validnost za vlasnika radnje"
"Multiple Select","Izbor više stavki"
"No","Ne"
"None","Ništa"
"Required","Obavezno"
"System","Sistem"
"Unique Value","Jedinstvena vrednost"
"Unique Value (not shared with other products)","Jedinstvena vrednost (ne deli se sa drugim proizvodima)"
"Yes","Da"
