"* Required Fields","* Obavezna polja"
"Add to Cart","Dodaj u korpu"
"Add to Compare","Dodaj za upoređivanje"
"Add to Wishlist","Dodaj u listu želja"
"Back","Nazad"
"Click for price","Kliknite za cenu"
"Date Added","Datum Dodavanja"
"Edit","Izmeni"
"Email Sender","Pošiljalac Mejla"
"Email Template","Šablon Mejla"
"Enabled","Omogućeno"
"In stock","Na stanju"
"Message","Poruka"
"Options Details","Detalji Opcija"
"Out of stock","Nema na lageru"
"Price","Cena"
"Product","Proizvod"
"Qty","Kol"
"Remove This Item","Ukloni ovu stavku"
"Remove item","Ukloni stavku"
"SKU","Šifra"
"View Details","Pogledaj detalje"
"What's this?","Što je ovo?"
"Wishlist","Lista želja"
