"-- Please Select --","-- Molim odaberite --"
"Actions","Radnje"
"All","Sve"
"Apply","Primeni"
"Big Image","Velika slika"
"Categories","Kategorije"
"Close","Zatvori"
"Continue","Nastavi"
"Delete","Obrisati"
"Export to:","Izvezi u:"
"Images","Slike"
"Next page","Sledeća stranica"
"Page","Stranica"
"Previous page","Prethodna stranica"
"Products","Proizvodi"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Select All","Izaberi sve"
"Select Visible","Izaberi vidljive"
"Settings","Podešavanja"
"Sort Order","Redosled porudžbina"
"Template","Šablon"
"The information in this tab has been changed.","Informacije na ovoj kartici su promenjene."
"Thumbnail","Sličice"
"Type","Tip"
"Unselect All","Poništi izabrane"
"Unselect Visible","Poništi izabrane vidljive"
"View","Pregled"
"per page","po stranici"
