"API Login ID","API ID za prijavu"
"Accepted Currency","Prihvaćene valute"
"Authorize Only","Samo odobriti"
"Authorize and Capture","Odobriti i prihvatiti"
"Cancel","Odustani"
"Credit Card Types","Vrsta kreditne kartice"
"Credit Card Verification","Verifikacija kreditne kartice"
"Debug","Otklanjanje grešaka"
"Email Customer","E-pošte kupca"
"Enabled","Omogućeno"
"Invalid amount for capture.","Neispravna vrednost za prihvaćanje."
"Invalid amount for refund.","Neispravna vrednost za povraćaj novca."
"Maximum Order Total","Maksimalna vrednost porudžbine"
"Merchant's Email","E-mail trgovca"
"Minimum Order Total","Minimalna vrednost porudžbine"
"New Order Status","Novi status porudžbine"
"Payment Action","Akcija plaćanja"
"Payment capturing error.","Greška pri prihvatanju plaćanja."
"Payment from Applicable Countries","Plaćanja iz privaćenih zemalja"
"Payment from Specific Countries","Plaćanja iz određenih zemalja"
"Payment refunding error.","Greška kod povraćaja novca."
"Payment voiding error.","Greška kod poništavanja plaćanja."
"Sort Order","Redosled porudžbina"
"Test Mode","Režim testa"
"Title","Naslov"
"Transaction Key","Ključ transakcije"
"authorize","ovlašćen"
"authorize and capture","ovlašćen i prihvaćen"
"capture","prihvati"
"failed","neuspešno"
"refund","povraćaj novca"
"successful","uspešno"
"void","poništi"
