"* Required Fields","* Nødvendige felt"
"-- Please Select --","-Vennligst velg--"
"A group with the same name already exists.","En gruppe med dette navnet eksisterer allerede."
"A product type is not defined for the indexer.","En produkttype er ikke definert for indeksereren."
"ALL GROUPS","ALLE GRUPPER"
"Action","Handling"
"Actual Price","Faktisk pris"
"Add","Legg til"
"Add Attribute","Legge til attributt"
"Add Design Change","Legge til en designendring"
"Add Group","Legg til gruppe"
"Add New","Legg til ny"
"Add New Attribute","Legge til nytt attributt"
"Add New Attribute Set","Legg til ny attributtssett"
"Add New Group","Legge til ny gruppe"
"Add New Images","Legge til nye bilder"
"Add New Option","Legg til nytt alternativ"
"Add New Row","Legg til ny rad"
"Add New Search Term","Legge til nye søkeord"
"Add Product","Legg til produkt"
"Add Product To Websites","Legge til produktet til nettsteder"
"Add Root Category","Legg til rotkategori"
"Add Subcategory","Legg til underkategori"
"Add Tax","Legg til skatt"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"All","Alle"
"All Product Types","Alle produkttyper"
"All Websites","Alle nettsteder"
"All products","Alle produkter"
"All products - recently added products, New products - products marked as new","Alle produkter - nylig lagt til produkter, Nye produkter - produkter markert som nye"
"Allow All Products per Page","Tillat alle produkter per side"
"Amount","Antall"
"Anchor Custom Text","Egendefinerte ankertekst"
"Anchor Custom Title","Anker egendefinert tittel"
"Apply To","Søk på"
"Approved","Godkjent"
"Are you sure?","Er du sikker?"
"Assign","Tilordne"
"Associated Products","Tilknyttede produkter"
"Attribute Information","Attributtinformasjon"
"Attribute Model","Attributtmodell"
"Attribute Set","Attributtsett"
"Attribute Sets","Attributtsett"
"Attributes","Attributter"
"Availability:","Tilgjengelighet:"
"Back","Tilbake"
"Backorders","Restordre"
"Based On","Basert på"
"Before Order Confirmation","Før ordrebekreftelse"
"Block after Info Column","Blokk etter info kolonne"
"Bottom/Left","Nederst/venstre"
"Bottom/Right","Nederst/høyre"
"Bundle Items","Pakke-elementer"
"Cache Lifetime (Seconds)","Buffer levetid (sekunder)"
"Cancel","Avbryt"
"Catalog","Katalog"
"Catalog Category Link","Katalog kategorikobling"
"Catalog New Products List","Katalog Ny produkt liste"
"Catalog Price Scope","Katalog pris omfang"
"Catalog Product Link","Katalog produkt Link"
"Catalog Section","Katalogen delen"
"Catalog, Search","Katalog, søk"
"Categories","Kategorier"
"Category","Kategori"
"Category Flat Data","Kategori flat data"
"Category Link Block Template","Kategorimalen Link blokk"
"Category Link Inline Template","Kategorimalen Link Inline"
"Category Products","Kategoriprodukter"
"Category Top Navigation","Kategori top navigering"
"Category URL Suffix","Kategori URL suffiks"
"Center","Midtstill"
"Change","Endre"
"Change status","Endre status"
"Check items to add to the cart or","Sjekk produkter lagt til handlekurv eller"
"Choose an Option...","Velg et alternativ..."
"Clear All","Tøm alt"
"Clear Price","Fjern pris"
"Click for price","Klikk for pris"
"Close Window","Lukk vindu"
"Collapse All","Skjul alle"
"Comma-separated.","Kommadelt."
"Comparable","Sammenlignbare"
"Compare","Sammenlign"
"Compare Products","Sammenlign produkter"
"Conditions Combination","Betingelsekombinasjon"
"Configure Product","Konfigurere produkt"
"Continue","Fortsett"
"Country/State","Land/fylke"
"Create","Opprett"
"Create Permanent Redirect for URLs if URL Key Changed","Opprette permanent omadressering for URL'er hvis URL-nøkkel forandres"
"Create Permanent Redirect for old URL","Opprette fast omdirigering for gammel URL"
"Custom Design","Tilpasset design"
"Custom Options","Egendefinerte alternativer"
"Customer Group","Kundegruppe"
"Data Type for Saving in Database","Datatype for lagring i databasen"
"Date & Time Custom Options","Dato & tid egendefinerte alternativer"
"Date Fields Order","Datofelt rekkefølge"
"Datetime","DateTime"
"Decimal","Desimaltall"
"Default Price","Standardpris"
"Default Values","Standardverdier"
"Delete","Slett"
"Delete Attribute","Slett attributt"
"Delete Option","Slett alternativet"
"Delete Row","Slett rad"
"Delete Search","Slette søk"
"Delete Selected Group","Slett valgt gruppe"
"Delete Tier","Slett nivå"
"Description","Beskrivelse"
"Design","Utforming"
"Details","Detaljer"
"Disabled","Deaktivert"
"Display Actual Price","Vis faktisk pris"
"Display Page Control","Vis sidekontroll"
"Downloadable Information","Nedlastbar informasjon"
"Duplicate","Dupliser"
"Duplicate amount found.","Duplikate beløp funnet."
"Edit","Redigere"
"Edit Product Attribute","Redigere produkt attributt"
"Edit Search","Rediger søk"
"Email","E-post"
"Email to a Friend","Send e-post til en venn"
"Empty","Tom"
"Enable Qty Increments","Aktiver antall intervaller"
"Enabled","Aktivert"
"Exclude","Ekskluder"
"Expand All","Utvid alle"
"Failed","Mislykket"
"Filterable (no results)","Filtrerbar (ingen resultater)"
"Filterable (with results)","Filtrerbare (med resultater)"
"First Name","Fornavn"
"Fixed","Fast"
"Gallery","Galleri"
"General Information","Generell Informasjon"
"Globally Editable","Globalt redigerbare"
"Go to Home Page","Gå til hjemmesiden"
"Grid","Rutenett"
"Groups","Grupper"
"Home","Hjem"
"Image","Bilde"
"In Cart","I handlevognen"
"In Stock","På lager"
"In stock","På lager"
"Incl. Tax","Inkl. MVA"
"Index product prices","Indeks produktpriser"
"Indexed category/products association","Indeksert kategori/produkter assoisiasjon"
"Input Type","Inndatatype"
"Integer","Heltall"
"Inventory","Lager"
"Is Default","Er standard"
"Label","Etikett"
"Last Name","Etternavn"
"Learn More","Lær mer"
"Link to a Specified Category","Koble til en bestemt kategori"
"Link to a Specified Product","Koble til et bestemt produkt"
"List","Liste"
"List Mode","Listemodus"
"List of Products that are set as New","Listen med produkter er satt som Ny"
"Manage Attribute Sets","Administrer attributtsett"
"Manage Catalog Categories","Administrer katalog kategorier"
"Manage Categories","Administrere kategorier"
"Manage Product Attributes","Administrere produkt-attributter"
"Manage Product Sets","Administrere produktsett"
"Manage Stock","Administrer lager"
"Manage Titles (Size, Color, etc.)","Administrere titler (størrelse, farge, osv.)"
"Max Characters","Maks tegn"
"Maximal Depth","Maksimal dybde"
"Maximum Image Size","Maksimal bildestørrelse"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Maximum image height","Maksimal bildehøyde"
"Maximum image width","Maksimal bildebredde"
"Maximum number of characters:","Maksimalt antall tegn:"
"Media Image","Mediebildet"
"Minimum Advertised Price","Minimum annonsert pris"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"Move","Flytt"
"My Account","Min konto"
"N/A","I/T"
"Name","Navn"
"New Product","Nytt produkt"
"New Product Attribute","Nytt produktattributt"
"New Products","Nye produkter"
"New Products Grid Template","Nye produkter rutenettet mal"
"New Products List Template","Nye produkter listemal"
"New Search","Nytt søk"
"New Set Name","Nytt sett navn"
"New products","Nye produkter"
"Next","Neste"
"No","Nei"
"No layout updates","Ingen layout oppdateringer"
"No options of this product are available.","Ingen alternativer med dette produktet er tilgjengelig."
"None","Ingen"
