"* Required Fields","* Nødvendige felt"
"Authorize","Autoriser"
"Close","Lukk"
"Created At","Opprettet"
"Customer","Kunde"
"Delete","Slett"
"Disable","Deaktiver"
"Disabled","Deaktivert"
"Edit","Redigere"
"Email","E-post"
"Email Address","E-postadresse"
"Enable","Aktivere"
"Enabled","Aktivert"
"Key","Nøkkel"
"Login","Logg inn"
"Name","Navn"
"Password","Passord"
"Permissions","Rettigheter"
"Role Name","Rollenavn"
"Save","Lagre"
"Save and Continue Edit","Lagre og fortsett redigering"
"User ID","Bruker-ID"
"User Name","Brukernavn"
"deleted","slettet"
