"ALL","ALLE"
"Add","Legg til"
"Apply","Anvend"
"Conditions Combination","Betingelsekombinasjon"
"FALSE","FEIL"
"Open Chooser","Åpne Velger"
"Remove","Fjern"
"TRUE","SANT"
"by","av"
"contains","inneholder"
"does not contain","inneholder ikke"
"does not contains","inneholder ikke"
"equals or greater than","lik eller større enn"
"equals or less than","er lik eller mindre enn"
"from","fra"
"greater than","større enn"
"is","er"
"is not","er ikke"
"is not one of","er ikke en av"
"is one of","er en av"
"less than","mindre enn"
"to","til"
"was not","var ikke"
