"Add","Legg til"
"Add New Role","Legg til ny regel"
"Allow","Tillat"
"Assigned","Tildelt"
"Attribute Set","Attributtsett"
"Attributes","Attributter"
"Back","Tilbake"
"Backorders","Restordre"
"Base Currency","Standardvaluta"
"Catalog","Katalog"
"Category ID","Kategori-ID"
"City","By"
"Company","Bedrift"
"Country","Land"
"Coupon Code","Kupongkode"
"Create","Opprett"
"Create Permanent Redirect for old URL","Opprette fast omdirigering for gammel URL"
"Customer","Kunde"
"Customer First Name","Kunden fornavn"
"Customer Last Name","Kunde etternavn"
"Delete","Slett"
"Deny","Nekt"
"Discount","Rabatt"
"Discount Amount","Rabattbeløp"
"Edit","Redigere"
"Edit Role","Endre rolle"
"Email","E-post"
"Enable Qty Increments","Aktiver antall intervaller"
"Exclude","Ekskluder"
"First Name","Fornavn"
"Gift Message","Gavemelding"
"Grand Total","Totalsum"
"Grand Total to Be Charged","Totalsum som skal belastes"
"Group","Gruppe"
"Guest","Gjest"
"Label","Etikett"
"Last Name","Etternavn"
"Manage Stock","Administrer lager"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"New Role","Ny rolle"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Order","Rekkefølge"
"Order ID","Ordre-ID"
"Order Status","Bestillingsstatus"
"Orders","Ordrer"
"Original Price","Opprinnelig pris"
"Payment Method","Betalingsmåte"
"Phone Number","Telefonnummer"
"Position","Posisjon"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt ID"
"Qty","Antall"
"Qty Increments","Antall intervaller"
"Qty Uses Decimals","Antall bruker desimaler"
"Role Info","Rolleinfo"
"Role Information","Rolleinformasjon"
"Role Name","Rollenavn"
"Role Users","Rollebrukere"
"Roles","Roller"
"SKU","Varenummer"
"Sales","Salg"
"Save","Lagre"
"Shipping Amount","Fraktbeløp"
"Shipping Method","Forsendelsesmåte"
"State","Fylke"
"Stock Availability","Lagertilgjengelighet"
"Stock Status","Lagerstatus"
"Store Name","Butikknavn"
"Subtotal","Delsum"
"Tax Amount","Mva beløp"
"Tax Percent","MVA prosent"
"Tax Rate","Skattesats"
"Total Paid","Totalt Betalt"
"Update","Oppdater"
"ZIP/Postal Code","ZIP/Postkode"
