"-- Please Select --","-Vennligst velg--"
"Actions","Handlinger"
"Add Layout Update","Legg til Oppsett Oppdatering"
"All","Alle"
"All Pages","Alle Sider"
"All Product Types","Alle produkttyper"
"Anchor Categories","Anker Kategorier"
"Apply","Anvend"
"Big Image","Stort bilde"
"Categories","Kategorier"
"Choose...","Velg..."
"Close","Lukk"
"Continue","Fortsett"
"Delete","Slett"
"Design Package/Theme","Design Pakke/Tema"
"Export to:","Eksporter til:"
"Generic Pages","Generiske Sider"
"Images","Bilder"
"Insert Widget","Sett inn widget"
"Layout Updates","Oppsett Oppdateringer"
"New Widget Instance","Legg til ny widget-instans"
"Next page","Neste side"
"Non-Anchor Categories","Ikke-Anker Kategorier"
"Not Selected","Ikke valgt"
"Open Chooser","Åpne Velger"
"Page","Side"
"Previous page","Forrige side"
"Products","Produkter"
"Remove Layout Update","Fjern Oppsett Oppdatering"
"Save and Continue Edit","Lagre og fortsett redigering"
"Select All","Velg alle"
"Select Visible","Velg synlige"
"Settings","Innstillinger"
"Sort Order","Sorteringsrekkefølge"
"Specified Page","Spesifisert Side"
"Template","Mal"
"The information in this tab has been changed.","Informasjonen under denne fanen er endret."
"Thumbnail","Miniatyrbilde"
"Unselect All","Opphev merking"
"Unselect Visible","Fjern valg av synlige"
"View","Visning"
"Widget Insertion","Widget-innsetting"
"Widget Options","Widget Alternativer"
"Widget Type","Widgettype"
"Widgets","Widgeter"
"per page","per side"
