"Add","Legg til"
"Allow Gift Messages for Order Items","Tillat gavemeldinger for varer i bestilling"
"Allow Gift Messages on Order Level","Tillat gavemeldinger på ordrenivå"
"Are you sure?","Er du sikker?"
"Cancel","Avbryt"
"Edit","Redigere"
"From","Fra"
"Gift Message","Gavemelding"
"Gift Options","Gavealternativ"
"Gift Options for Individual Items","Gavealternativ for enkelte varer"
"Message","Beskjed"
"No","Nei"
"Save Gift Message","Lagre gavemelding"
"To","Til"
"Use config","Bruk konfigurasjon"
"Yes","Ja"
