"Base URL","Standard URLer"
"Configuration","Innstillinger"
"Confirm Password","Bekreft passord"
"Continue","Fortsett"
"Download","Last ned"
"Email","E-post"
"Email Address","E-postadresse"
"Enable Charts","Aktiver diagrammer"
"Encryption Key","Krypteringsnøkkel"
"File System","Filsystem"
"First Name","Fornavn"
"Last Name","Etternavn"
"Locale","Lokal"
"Password","Passord"
"Password Confirmation","Passordbekreftelse"
"Personal Information","Personopplysninger"
"Report All Bugs","Rapporter alle feil"
"Secure Base URL","Sikre standard URL"
"User Name","Brukernavn"
"User Password","Brukerpassord"
"Username","Brukernavn"
