" for more information or "," for mer informasjon eller "
"# of Items (and above)","# av elementer (og over)"
"Allow Shipping to Multiple Addresses","Tillate levering til flere adresser"
"Calculate Handling Fee","Beregn håndteringsgebyr"
"Carrier:","Transportør:"
"City","By"
"Close Window","Lukk vindu"
"Condition","Betingelse"
"Country","Land"
"Custom Value","Egendefinert verdi"
"Date","Dato"
"Delivered on:","Levert:"
"Description","Beskrivelse"
"Displayed Error Message","Vis Feilmelding"
"Divide to equal weight (one request)","Dele lik vekt (én forespørsel)"
"Enabled","Aktivert"
"Error:","Feil:"
"Export","Eksport"
"Fixed","Fast"
"Flat Rate","Fast pris"
"Free Shipping","Gratis frakt"
"Handling Fee","Ekspedisjonsgebyr"
"Import","Importere"
"Local Time","Lokal tid"
"Location","Plassering"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maksimalt antall tillatt for levering til flere adresser"
"Method Name","Metodenavn"
"N/A","I/T"
"None","Ingen"
"Options","Innstillinger"
"Order Subtotal (and above)","Ordredelsum (og over)"
"Origin","Opprinnelse"
"Per Order","Per bestilling"
"Per Package","Per pakke"
"Percent","Prosent"
"Price","Pris"
"Price vs. Destination","Pris vs destinasjon"
"Region/State","Kommune"
"Ship to Applicable Countries","Send til bestemte land"
"Ship to Specific Countries","Send til bestemte land"
"Shipment #","Forsendelse #"
"Shipping Methods","Leveringsmåte"
"Shipping Settings","Frakt-innstillinger"
"Show Method if Not Applicable","Vis metode hvis ikke gjeldende"
"Sort Order","Sorteringsrekkefølge"
"Street Address","Gateadresse"
"Street Address Line 2","Gateadresse linje 2"
"The shipping module is not available.","Frakt modulen er ikke tilgjengelig."
"There is no tracking available for this shipment.","Det finnes ingen sporing for denne forsendelsen."
"There is no tracking available.","Sporing er ikke tilgjengelig."
"Title","Tittel"
"Track:","Sporing:"
"Tracking Information","Sporingsinformasjon"
"Tracking Number:","Sporingsnummer:"
"Tracking information is currently not available. Please ","Sporingsinformasjon er for øyeblikket ikke tilgjengelig. Vennligst "
"Use origin weight (few requests)","Bruke opprinnelse vekt (få forespørsler)"
"Weight (and above)","Vekt (og over)"
"ZIP/Postal Code","ZIP/Postkode"
"contact us","kontakt oss"
"email us at ","kontakt oss på "
