"Action","Handling"
"Add","Legg til"
"Add to Cart","Legg i handlekurv"
"Add to Wishlist","Legg i ønskelisten"
"Approved","Godkjent"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Are you sure?","Er du sikker?"
"Back","Tilbake"
"Block Information","Blokkinformasjon"
"Change status","Endre status"
"Country","Land"
"Customer Since","Kunde siden"
"Customers","Kunder"
"Delete","Slett"
"Disabled","Deaktivert"
"Email","E-post"
"First Name","Fornavn"
"General Information","Generell Informasjon"
"Grid","Rutenett"
"Last Name","Etternavn"
"List","Liste"
"Name","Navn"
"Pending","Ventende"
"Price","Pris"
"Product Name","Produktnavn"
"Products","Produkter"
"Remove","Fjern"
"SKU","Varenummer"
"Save and Continue Edit","Lagre og fortsett redigering"
"Store View","Butikkvisning"
"Tags","Merkelapper"
"Update","Oppdater"
"[STORE VIEW]","[LAGERVISNING]"
