"Actions","Handlinger"
"Are you sure?","Er du sikker?"
"Date Added","Dato lagt til"
"Last Update","Siste oppdatering"
"Mark as Read","Marker som lest"
"Message","Beskjed"
"Messages Inbox","Beskjeder Innboks"
"Notifications","Varslinger"
"Please select messages.","Velg meldinger."
"Read Details","Les detaljer"
"Remove","Fjern"
"Severity","Alvorlighetsgrad"
"Show List","Vis liste"
"Show Toolbar","Vis verktøylinje"
"The message has been removed.","Meldingen ble fjernet."
"Update Frequency","Oppdateringsfrekvens"
"Use HTTPS to Get Feed","Bruk HTTPS for å få tjener"
"Wrong message type","Feil meldingstype"
"critical","kritisk"
"major","stor"
"minor","mindre"
"notice","varsel"
