"Add to Cart","Додати у корпу"
"Add to Compare","Додај за поређење"
"Add to Wishlist","Додај у листу жеља"
"Apply","Примени"
"Apply Coupon","Примени купон"
"Back","Назад"
"Cancel","Одустани"
"Close","Затвори"
"Content","Садржај"
"Details","Детаљи"
"Disabled","Онемогућено"
"Edit","Ажурирај"
"Edit item parameters","Ажурирај параметре артикла"
"Enabled","Омогућено"
"Excl. Tax","ПДВ није укључен"
"ID","ИД"
"Incl. Tax","ПДВ је укључен"
"Items","Артикли"
"Password","Лозинка"
"Place Order","Постави поруџбину"
"Price","Цена"
"Proceed to Checkout","Заврши куповину"
"Product","Производ"
"Products","Производи"
"Qty","Количина"
"Quantity","Количина"
"Remove item","Уклони ставку"
"SKU","Шифра"
"See price before order confirmation.","Погледајте цену пре потврде наруџбине."
"Shopping Cart","Листа артикала за куповину"
"Status","Статус"
"Subtotal","Међузбир"
"Total","Укупно"
"Update Shopping Cart","Ажурирање корпе за куповину"
"View Shopping Cart","Преглед листе купљених артикала"
"What's this?","Шта је ово?"
