"Attribute Code","Атрибут код"
"Default Value","Подразумевану вредност"
"Delete","Обриши"
"Email","Е-пошта"
"Input Validation for Store Owner","Валидација уноса за власника продавнице"
"No","Не"
"None","Ниједно"
"System","Систем"
"Unique Value","Јединствену вредност"
"Unique Value (not shared with other products)","Јединствену вредност (не дели се са другим производима)"
"Yes","Да"
