"Advanced","Напредно"
"Allow Countries","Допуштене државе"
"Allow Symlinks","Дозволи симболичке везе"
"Anchor Text for Previous","Повежите текст за претходним"
"Are you sure?","Јесте ли сигурни?"
"Auto-redirect to Base URL","Ауто - преусмеравање на основну УРЛ адресу"
"Back","Назад"
"Base Link URL","Веза ка основној УРЛ адреси"
"Base URL","Основни УРЛ"
"CSS Settings","CSS подешавања"
"Cache Storage Management","Управљање кешом складишта"
"Cancel","Одустани"
"Code","Kod"
"Create Store","Креирање продавнице"
"Create Store View","Креирање приказа продавнице"
"Create Website","Креирање Веб локације"
"Custom Email 1","Прилагођен е-маил 1"
"Custom Email 2","Прилагођен е-маил 2"
"Customer Support","Подршка за кориснике"
"Debug","Отклањање грешака"
"Default Country","Подразумевана држава"
"Default No-route URL","Нема подразумеване УРЛ руте"
"Default Pages","Подразумеванe страницe"
"Default Store","Подразумевана продавница"
"Default Store View","Приказ подразумеваног складишта"
"Default Web URL","Подразумевана Веб УРЛ адреса"
"Delete","Обриши"
"Developer","Програмер"
"Disable Modules Output","Онемогући излазне модуле"
"Enabled","Омогућено"
"Enabled for Admin","Омогућено за администратора"
"Flush Cache Storage","Пражњење кеш складишта"
"Flush Magento Cache","Испразни кеш магента"
"General Contact","Општи контакт"
"How many links to display at once.","Колико веза је потребно за истовремени приказ."
"JavaScript Settings","JavaScript подешавања"
"Merge CSS Files","Спајање CSS датотека"
"Merge JavaScript Files","Спој JavaScript датотеке"
"Name","Име"
"No","Не"
"Offloader header","Offloader заглавље"
"Pagination","Нумерисање страна"
"Pagination Frame","Нумерисање страница оквира"
"Pagination Frame Skip","Прескочи нумерисање страница оквира"
"Root Category","Роот категорија"
"Sales Representative","Представник продаје"
"Save","Сачувај"
"Sender Email","Адреса пошиљаоца"
"Sender Name","Име пошиљаоца"
"Services","Услуге"
"Session Validation Settings","Подешавање ваљаности сесије"
"Set as Default","Постави као подразумевано"
"Sort Order","Редослед слагања"
"Status","Статус"
"Store","Продавница"
"Store Email Addresses","Сачувај Е-маил адресе"
"Store View Information","Информације о приказу продавнице"
"System","Систем"
"Template Settings","Подешавање шаблона"
"Translate Inline","Преведи при уписивању"
"None","Ниједно"
"Use Secure URLs in Admin","Користите сигурне УРЛ-ове за администратора"
"Use Web Server Rewrites","Користи Веб сервер за поновно писање"
"Validate HTTP_USER_AGENT","Провери ваљаност HTTP_USER_AGENT"
"Validate HTTP_VIA","Провери ваљаност HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Провери ваљаност HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Провери ваљаност REMOTE_ADDR"
"Yes","Да"
