"--Please Select--","--Молим изабрати--"
"API Login ID","ИД за пријављивање АПИ"
"Accepted Currency","Прихваћене валуте"
"Card Verification Number","Верификациони број картице"
"Close","Затвори"
"Credit Card Number","Број кредитне картице"
"Credit Card Type","Тип кредитне картице"
"Credit Card Types","Тип кредитне картице"
"Credit Card Verification","Верификација кредитне картице"
"Debug","Отклањање грешака"
"Email Customer","Е -поште купца"
"Enabled","Омогућено"
"Expiration Date","Датум истека"
"Gateway URL","УРЛ адреса мрежног пролаза"
"Maximum Order Total","Минимални износ поруџбине"
"Merchant MD5","МД5 продавца"
"Merchant's Email","Емаил трговаца"
"Minimum Order Total","Минимални износ поруџбине"
"New Order Status","Нови статус поруџбине"
"Payment Action","Акција плаћања"
"Payment from Applicable Countries","Плаћање из земаља где је применљиво"
"Payment from Specific Countries","Плаћања из одређених земаља"
"Sort Order","Редослед слагања"
"Test Mode","Тест режим"
"Title","Наслов"
"Transaction Key","Кључ трансакције"
"What is this?","Шта је ово?"
