"All","সকল"
"Custom","নিজের মতো করে"
"Incoming Message","আগত বার্তা"
"Messages Inbox","বার্তা ইনবক্স"
"None","কোনটাই না"
"Remove","মুছে দিন"
"close","বন্ধ করুন"
