"ALL","KAIKKI"
"ANY","MIKÄ TAHANSA"
"Add","Lisää"
"Apply","Käytä"
"Conditions Combination","Ehtojen yhdistäminen"
"FALSE","EPÄTOSI"
"If %s of these conditions are %s:","Jos %s ehdot ovat %s:"
"Open Chooser","Avaa valitsin"
"Perform following actions","Suorita seuraavat toiminnot"
"Please choose a condition to add...","Valitse lisättävä ehto..."
"Please choose an action to add...","Valitse lisättävä toiminto..."
"Remove","Poista"
"TRUE","TOTTA"
"by","millä"
"contains","sisältää"
"does not contain","ei sisällä"
"does not contains","ei sisällä"
"equals or greater than","yhtä suuri tai suurempi kuin"
"equals or less than","yhtä suuri tai vähemmän kuin"
"from","alkaen"
"greater than","suurempi kuin"
"is","on"
"is not","ei ole"
"less than","vähemmän kuin"
"to","asti"
"was","oli"
"was not","ei ollut"
