"-- Please Select --","--- Valitse ---"
"Actions","Toiminnot"
"Add Layout Update","Lisää asettelun päivitys"
"All","Kaikki"
"All Pages","Kaikki sivut"
"All Product Types","Kaikki tuotetyypit"
"Apply","Käytä"
"Assign to Store Views","Määritä kauppanäkymiin"
"Big Image","Iso kuva"
"CMS","Sisällönhallinta"
"Categories","Kategoriat"
"Choose...","Valitse..."
"Close","Sulje"
"Continue","Jatka"
"Delete","Poista"
"Design Package/Theme","Ulkoasun paketti/teema"
"Export to:","Vieminen:"
"Frontend Properties","Kaupan näkymän asetukset"
"Images","Kuvat"
"Insert Widget","Lisää Widget"
"Layout Updates","Asettelun päivitykset"
"Next page","Seuraava sivu"
"Not Selected","Ei valittu"
"Open Chooser","Avaa valitsin"
"Page","Sivu"
"Previous page","Edellinen sivu"
"Products","Tuotteet"
"Remove Layout Update","Poista asettelun päivitys"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Select All","Valitse kaikki"
"Select Visible","Valitse näkyvä"
"Settings","Asetukset"
"Sort Order","Lajittelujärjestys"
"Template","Malli"
"The information in this tab has been changed.","Tämän välilehden tietoja on muutettu."
"This tab contains invalid data. Please solve the problem before saving.","Tämä välilehti sisältää virheellistä dataa. Korjaa virhe ennen tallentamista."
"Thumbnail","Pienoiskuva"
"Total %d records found","Yhteensä %d tietue(tta) löytyi"
"Type","Tyyppi"
"Unselect All","Poista kaikki valinnat"
"Unselect Visible","Poista valinta näkyvältä osalta"
"View","Katso"
"Widget Insertion","Widgetin lisääminen"
"Widget Options","Widgetin asetukset"
"Widget Type","Widget tyyppi"
"Widgets","Widgetit"
"items selected","tietue(tta) valittu"
"of %s pages","/ %s"
"per page","per sivu"
