"-- Please select --","--- Valitse ---"
"API Key","API avain"
"Allowed Currencies","Sallitut valuutat"
"Base Currency","Oletusvaluutta"
"Connection Timeout in Seconds","Yhteyden aikakatkaisu sekunteina"
"Continue &raquo;","Jatka &raquo;"
"Country","Maa"
"Country and Format Type combination should be unique","Maan ja muodon yhdistelmätyyppi täytyy olla yksilöllinen"
"Currency","Valuutta"
"Currency Options","Valuutta-asetukset"
"Currency Setup","Valuutta-asetukset"
"Currency Update Warnings","Valuutan päivitysvaroitukset"
"Enabled","Käytössä"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin pohja"
"FATAL ERROR:","VAKAVA VIRHE:"
"Frequency","Tiheys"
"Installed Currencies","Asennetut valuutat"
"Invalid country code: %s","Virheellinen maakoodi: %s"
"Invalid rates received","Virheellisiä kursseja vastaanotettu"
"Scheduled Import Settings","Ajastetun tuonnin asetukset"
"Select Your Currency","Valitse valuutta"
"Service","Palveluntarjoaja"
"Start Time","Aloitusaika"
"State/Province","Osavaltio/provinssi"
"WARNING:","VAROITUS:"
"Your current currency is: %s","Tämänhetkinen valuuttasi on: %s"
