"-- Please Select --","--- Valitse ---"
"Attribute Code","Attribuuttikoodi"
"Attribute Label","Ominaisuuden nimike"
"Customers","Asiakkaat"
"Entity Type","Entiteetin tyyppi"
"Export","Vie"
"Export File Format","Viennin tiedostomuoto"
"Export Settings","Vientiasetukset"
"Filter","Suodin"
"From","Alkaen"
"Import","Tuo"
"Import Settings","Tuontiasetukset"
"Import/Export","Tuo/Vie"
"Products","Tuotteet"
"Select File to Import","Valitse tuotava tiedosto"
"Status","Tila"
"There are no product types available for export","Vietäviä tuotetyyppejä ei ole saatavilla"
"To","Asti"
