" for more information or "," lisätietoja tai "
"# of Items (and above)","# kohteita (ja yli)"
"# of Items vs. Destination","# tuotetta verrattuna määränpäähän"
"Allow Shipping to Multiple Addresses","Salli toimitus useaan osoitteeseen"
"Calculate Handling Fee","Laske käsittelymaksu"
"Carrier:","Toimittaja:"
"City","Paikkakunta"
"Close Window","Sulje ikkuna"
"Condition","Ehdot"
"Country","Maa"
"Custom Value","Muokattu arvo"
"Date","Päivämäärä"
"Delivered on:","Toimitettu:"
"Delivered to:","Toimitettu (kenelle):"
"Description","Kuvaus"
"Displayed Error Message","Näytetty virheviesti"
"Enabled","Käytössä"
"Error:","Virhe:"
"Export","Vie"
"Fixed","Kiinteä"
"Flat Rate","Kiinteähintainen toimitus"
"Free Shipping","Ilmainen toimitus"
"Handling Fee","Käsittelykulut"
"Import","Tuo"
"Info:","Tietoja:"
"Invalid Table Rate code for type %s: %s","Virheellinen taulukkohinnan koodi tyypille %s: %s"
"Invalid Table Rate code type: %s","Virheellinen taulukkohinnan koodin tyyppi: %s"
"Invalid Table Rates File Format","Virheellinen taulukkoarvojen tiedostoformaatti"
"Local Time","Paikallinen aika"
"Location","Sijainti"
"Minimum Order Amount","Vähimmäistilausmäärä"
"N/A","Ei tietoa"
"None","Poista valinnat"
"Options","Asetukset"
"Order Subtotal (and above)","Tilauksen välisumma (ja yli)"
"Origin","Lähtöpaikka"
"Per Order","Per tilaus"
"Per Package","/ paketti"
"Percent","Prosenttia"
"Price","Hinta"
"Price vs. Destination","Hinta vastaan määränpää"
"Region/State","Alue/osavaltio"
"Service Type:","Palvelutyyppi:"
"Shipment #","Lähetysnumero #"
"Shipped or billed on:","Lähetetty tai laskutettu (milloin):"
"Shipping Methods","Toimitustavat"
"Shipping Settings","Toimitusasetukset"
"Signed by:","Allekirjoittanut:"
"Sort Order","Lajittelujärjestys"
"Status:","Tila:"
"Store Pickup","Nouto kaupasta"
"Street Address","Katuosoite"
"Street Address Line 2","Katuosoitteen toinen rivi"
"There is no tracking available for this shipment.","Tälle toimitukselle ei ole saatavilla lähetyksen seurantaa."
"There is no tracking available.","Seurantaa ei ole saatavilla."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Lähetystapa ei tällä hetkellä ole käytettävissä. Jos haluat meidän lähettävän tilauksen tällä lähetystavalla, ole hyvä ja ota meihin yhteyttä."
"Title","Otsikko"
"Track:","Seuraa:"
"Tracking Information","Seurantatiedot"
"Tracking Number:","Seurantanumero:"
"Tracking information is currently not available. Please ","Seurantatietoja ei ole nyt saatavilla. Ole hyvä "
"Tracking information is currently unavailable.","Seurantatietoja ei ole saatavilla."
"Type","Tyyppi"
"Weight (and above)","Paino (ja yli)"
"Weight vs. Destination","Painon suhde määränpäähän"
"Weight:","Paino:"
"ZIP/Postal Code","Postinumero"
"contact us","ota meihin yhteyttä"
"email us at ","lähetä meille sähköpostia "
