"# of Uses","Käyttökerrat"
"Action","Toiminto"
"Add","Lisää"
"Add New Tag","Lisää uusi asiasana"
"Add Tags","Lisää asiasanat"
"Add Your Tags:","Lisää asiasanasi:"
"Add to Cart","Lisää ostoskoriin"
"Add to Wishlist","Lisää toivelistaan"
"All Tags","Kaikki asiasanat"
"Approved","Hyväksytty"
"Are you sure you want to delete this tag?","Haluatko varmasti poistaa tämän asiasanan?"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure?","Oletko varma?"
"Back","Takaisin"
"Back to Tags List","Takaisin asiasanojen listaan"
"Block Information","Lohkon tiedot"
"Change status","Muuta tila"
"Click on a tag to view your corresponding products.","Klikkaa asiasanaa katsoaksesi merkitsemäsi tuotteet."
"Country","Maa"
"Customer Since","Asiakas alkaen"
"Customers","Asiakkaat"
"Customers Tagged '%s'","Asiakkaat antoivat asiasanan '%s'"
"Delete","Poista"
"Delete Tag","Poista asiasana"
"Disabled","Ei käytössä"
"Edit Tag '%s'","Muokkaa asiasanaa '%s'"
"Email","Sähköposti"
"First Name","Etunimi"
"General Information","Yleistä"
"Grid","Ruudukko"
"ID","Tunnus"
"Last Name","Sukunimi"
"List","Luettelo"
"My Recent Tags","Viimeaikaiset asiasanani"
"My Tags","Asiasanani"
"Name","Nimi"
"New Tag","Uusi asiasana"
"No matches found.","Ei löydettyjä osumia."
"Other people marked this product with these tags:","Toiset asiakkaat merkitsivät tämän tuotteen näillä asiasanoilla:"
"Pending","Odottaa"
"Pending Tags","Asiasanoja odottaa"
"Popular","Suositut"
"Popular Tags","Suositut asiasanat"
"Price","Hinta"
"Product Name","Tuotenimi"
"Product SKU","Tuotteen tuotekoodi"
"Product Tags","Tuotteen asiasanat"
"Products","Tuotteet"
"Products Tagged with '%s'","Tuotteet jotka merkitty asiasanalla '%s'"
"Products tagged with '%s'","Tuotteet jotka merkitty asiasanalla '%s'"
"Remove","Poista"
"SKU","Tuotenro"
"Save Tag","Tallenna asiasana"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Status","Tila"
"Store View","Kauppanäkymä"
"Tag","Asiasana"
"Tag Name","Asiasanan nimi"
"Tags","Tunnisteet"
"Tags:","Asiasanat:"
"Telephone","Puhelin"
"Unable to find any products tagged with '%s' in the current store","Asiasanalla '%s' merkittyjä tuotteita ei löydy tästä kaupasta."
"Unable to remove tag. Please, try again later.","Asiasanaa ei voida poistaa. Yritä myöhemmin uudestaan."
"Update","Päivitä"
"Use spaces to separate tags. Use single quotes (') for phrases.","Käytä välilyöntejä erottaaksesi asiasanat. Käytä puolilainausmerkkejä (') lauseille."
"View All Tags","Katso kaikki asiasanat"
"View Customers","Katso asiakkaita"
"View Products","Katso tuotteita"
"You have not tagged any products yet.","Et ole vielä lisännyt asiasanoja tuotteisiin."
"ZIP/Post Code","Postinumero"
"[STORE VIEW]","[KAUPPANÄKYMÄ]"
