"-- Please Select --","--- Valitse ---"
"Add New Class","Lisää uusi luokka"
"Add New Tax Rate","Lisää uusi verokanta"
"Add New Tax Rule","Lisää uusi verosääntö"
"After Discount","Alennuksen jälkeen"
"Apply Tax On","Lisää vero"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Back","Takaisin"
"Before Discount","Ennen alennusta"
"Calculation Settings","Laskennan asetukset"
"Catalog Prices","Katalogin hinta"
"Class Name","Luokan nimi"
"Code","Koodi"
"Country","Maa"
"Custom price if available","Muokattuun hintaan jos saatavilla"
"Customer Tax Class","Asiakkaan veroluokka"
"Customer Tax Class Information","Asiakkaan veroluokan tiedot"
"Customer Tax Classes","Asiakkaan veroluokat"
"Default Country","Oletusmaa"
"Default Post Code","Oletuspostinumero"
"Default State","Oletusosavaltio"
"Delete Class","Poista luokka"
"Delete Rate","Poista verokanta"
"Delete Rule","Poista sääntö"
"Display Prices","Näytä hinnat"
"Display Shipping Prices","Näytä toimitusten hinnat"
"Display Subtotal","Näytä välisumma"
"Display Zero Tax Subtotal","Näytä veroton välisumma"
"Edit Class","Muokkaa luokkaa"
"Edit Class '%s'","Muokkaa luokkaa '%s'"
"Edit Rule","Muokkaa sääntöä"
"Edit Tax Rate","Muokkaa verokantaa"
"Excl. Tax","Veroton"
"Excl. Tax:","Veroton:"
"Excluding Tax","Ilman veroja"
"Export Tax Rates","Vie verokannat"
"Grand Total (Excl. Tax)","Loppusumma (veroton)"
"Grand Total (Excl.Tax)","Loppusumma (veroton)"
"Grand Total (Incl. Tax)","Loppusumma (verollinen)"
"Grand Total (Incl.Tax)","Loppusumma (verollinen)"
"Grand Total Excl. Tax","Veroton loppusumma"
"Grand Total Incl. Tax","Verollinen loppusumma"
"Import / Export Tax Rates","Tuo/vie verokantoja"
"Import Tax Rates","Tuo verokannat"
"Inc. Tax","Verollinen"
"Incl. Tax","Verollinen"
"Incl. Tax:","Verollinen:"
"Including Tax","Verollinen"
"Invalid file format upload attempt","Virheellinen tiedostotyyppi siirtoyritykselle"
"Invalid file upload attempt","Virheellinen tiedostonsiirtoyritys"
"Product Tax Classes","Tuotteiden veroluokat"
"Tax Rates","Veroprosentit"
"Tax Rules","Verosäännöt"
"Name","Nimi"
"New Class","Uusi luokka"
"New Rule","Uusi sääntö"
"New Tax Rate","Uusi verokanta"
"No","Ei"
"None","Poista valinnat"
"Original price only","Vain alkuperäiseen hintaan"
"Priority","Prioriteetti"
"Product Tax Class","Tuotteen veroluokka"
"Product Tax Class Information","Tuotteen veroluokkatiedot"
"Reset","Tyhjennä"
"Row Total","Rivin summa"
"Sales","Myynti"
"Save Class","Tallenna luokka"
"Save Rate","Tallenna kanta"
"Save Rule","Tallenna sääntö"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Shipping & Handling (Excl.Tax)","Toimitus- & käsittelykulut (veroton)"
"Shipping & Handling (Incl.Tax)","Toimitus- & käsittelykulut (sis.verot)"
"Shipping (Excl. Tax)","Toimituskulut (veroton)"
"Shipping (Incl. Tax)","Toimituskulut (sis. verot)"
"Shipping Prices","Toimitushinnat"
"Sort Order","Lajittelujärjestys"
"State","Lääni"
"State/Region","Osavaltio/alue"
"Subtotal (Excl. Tax)","Välisumma (veroton)"
"Subtotal (Excl.Tax)","Välisumma (veroton)"
"Subtotal (Incl. Tax)","Välisumma (verollinen)"
"Subtotal (Incl.Tax)","Välisumma (verollinen)"
"Tax","Vero"
"Tax Class for Shipping","Toimituksen veroluokat"
"Tax Classes","Veroluokat"
"Tax Identifier","Verotunnus"
"Tax Rate","Veroprosentti"
"Tax Rate Information","Veroluokkien tiedot"
"Tax Rule Information","Verosäännön tiedot"
"Tax Titles","Veronimikkeet"
"This class no longer exists","Tätä luokkaa ei enää ole olemassa"
"This rule no longer exists","Sääntöä ei ole enää olemassa"
"This rule no longer exists.","Tätä sääntöä ei ole enää olemassa."
"Total","Yhteensä"
"Unit Price","Yksikköhinta"
"Yes","Kyllä"
"You cannot delete this tax class as it is used for %d customer groups.","Veroluokkaa ei voida poistaa, sillä sitä käytetään asiakasryhmälle %d."
"You cannot delete this tax class as it is used for %d products.","Veroluokkaa ei voida poistaa, sillä sitä käytetään tuotteille %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Veroluokkaa ei voida poistaa sillä sitä käytetään verosäännöissä. Poista ensin säännöt joissa sitä käytetään."
"Zip/Post Code","Postinumero"
"Zip/Post is Range","Postinumero on alueella"
