"# of Use","# käyttökertaa"
"%s Item(s)","%s tuote(tta)"
"(Copy data from: %s)","(Kopio data: %s)"
"Delete Row","Poista rivi"
"Delete Search","Poista haku"
"Delete Selected Group","Poista valittu ryhmä"
"Depends on design theme","Riippuvainen teemasta"
"Description","Kuvaus"
"Design","Ulkoasu"
"Details","Yksityiskohdat"
"Disabled","Ei käytössä"
"Display Type","Näyttötyyppi"
"Display in Suggested Terms","Näytä ehdotetuissa hakusanoissa"
"Double click on a group to rename it","Tuplaklikkaa ryhmään nimetäksesi se uudelleen"
"Double click on above image to view full picture","Tuplaklikkaa kuvaa nähdäksesi sen kokonaan"
"Downloadable Information","Ladattavat tiedot"
"Duplicate","Kaksoiskappale"
"Duplicate website tier price customer group and quantity.","Kahdenna (tee kaksoiskappale) sivuston määräalennus, asiakasryhmä ja määrä."
"Edit","Muokkaa"
"Edit Attribute Set '%s'","Muokkaa ominaisuuksien joukkoa '%s'"
"Edit Product Attribute","Muokkaa tuoteattribuuttia"
"Edit Product Attribute ""%s""","Muokkaa tuotteen ominaisuutta ""%s"""
"Edit Search","Muokkaa hakua"
"Edit Search '%s'","Muokkaa hakua '%s'"
"Email","Sähköposti"
"Email to a Friend","Sähköpostita kaverille"
"Empty","Tyhjä"
"Enable Qty Increments","Ota porrastetut määrät käyttöön"
"Enabled","Käytössä"
"Error during retrieval of option value: %s","Virhe noudettaessa vaihtoehdon arvoa: %s"
"Exclude","Rajaa pois"
"Expand All","Laajenna kaikki"
"Failed","Epäonnistui"
"Failed to move file: %s","Tiedoston siirto epäonnistui: %s"
"Feature Products","Esillä olevat tuotteet"
"Filter","Suodin"
"Filterable (no results)","Suodatettava (ei tuloksia)"
"Filterable (with results)","Suodatettava (tuloksin)"
"First Name","Etunimi"
"Fixed","Kiinteä"
"For the last time placed.","Viimekertainen."
"Frontend","Kaupan näkymä"
"Frontend Model","Kauppan näkymän malli"
"Frontend Properties","Kaupan näkymän asetukset"
"Gallery","Galleria"
"General Information","Yleistä"
"Global","Globaali"
"Globally Editable","Globaalisti muokattavissa"
"Go to Home Page","Siirry etusivulle"
"Grid","Ruudukko"
"Grouped Product","Ryhmätuote"
"Groups","Ryhmät"
"Home","Etusivu"
"ID","Tunnus"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jos et määrittele ominaisuuden arvoa kaupalle, oletusarvoa (Admin) käytetään."
"Image","Kuva"
"Image type and information need to be specified for each store view.","Kuvan tyyppi ja tiedot täytyy määritellä jokaisella kauppanäkymälle."
"In Cart","Ostoskorissa"
"In Stock","Varastossa"
"In stock","Varastossa"
"Incl. Tax","Verollinen"
"Input Type","Syötteen tyyppi"
"Integer","Kokonaisluku"
"Invalid store specified","Virheellinen kauppa määritetty"
"Inventory","Varasto"
"Is Default","Oletus"
"Is Required","Vaadittu"
"Items %s to %s of %s total","Tuotteet %s-%s / %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Tuotteiden tilaksi, joiden et halua näkyvän katalogissa tai haussa tulee asettaa halutussa kaupassa 'Ei käytössä' ."
"Label","Nimike"
"Last Name","Sukunimi"
"Last Notification","Viimeinen muistutus"
"Learn More","Lisätietoja"
"Line %d, Email: %s","Rivi %d, sähköposti: %s"
"Line %d, SKU: %s","Rivi %d, tuotenumero: %s"
"List","Luettelo"
"List Mode","Luettelotila"
"Manage Attribute Sets","Hallitse attribuuttiryhmiä"
"Manage Attributes","Hallinnoi ominaisuuksia"
"Manage Catalog Categories","Hallitse katalogin kategorioita"
"Manage Categories","Hallitse kategorioita"
"Manage Label / Options","Hallinnoi nimikettä / vaihtoehtoja"
"Manage Options (values of your attribute)","Hallinnoi vaihtoehtoja (ominaisuuksien arvoja)"
"Manage Product Attributes","Hallinnoi tuotteen attribuutteja"
"Manage Product Sets","Hallitse tuoteryhmiä"
"Manage Products","Hallinnoi tuotteita"
"Manage Stock","Varastonhallinta"
"Manage Titles (Size, Color, etc.)","Hallinnoi nimiä (koko, väri jne.)"
"Max Characters","Suurin sallittu merkkimäärä"
"Maximal Depth","Syvyys enintään"
"Maximum Image Size","Kuvan enimmäiskoko"
"Maximum Qty Allowed in Shopping Cart","Sallittu enimmäismäärä ostoskorissa"
"Maximum image height","Kuvan enimmäiskorkeus"
"Maximum image width","Kuvan enimmäisleveys"
"Maximum number of characters:","Merkkien enimmäismäärä:"
"Media Image","Media Kuva"
"Minimum Qty Allowed in Shopping Cart","Pienin sallittu määrä ostoskorissa"
"Minimum Qty for Item's Status to be Out of Stock","Vähimmäismäärä, jolloin tuote merkataan varastosta loppuneeksi"
"More Views","Lisää kuvia"
"Move","Siirrä"
"My Account","Oma tili"
"N/A","Ei tietoa"
"Name","Nimi"
"New Product","Uusi tuote"
"New Product Attribute","Uusi tuoteattribuutti"
"New Products","Uudet tuotteet"
"New Search","Uusi haku"
"New Set Name","Uuden setin nimi"
"New products","Uudet tuotteet"
"Next","Seuraava"
"No","Ei"
"No image","Ei kuvaa"
"No layout updates","Ei asettelun päivityksiä"
"None","Poista valinnat"
"Not Visible Individually","Ei näkyvissä yksilöllisesti"
"Notify Low Stock RSS","Varastosaldohuomautus"
"Notify for Quantity Below","Ilmoita jos määrä on alle"
"Number of Products per Page","Tuotteita per sivu"
"Number of Products to Display","Näytettävien tuotteiden määrä"
"Number of Uses","Käyttökertojen määrä"
"Number of results","Hakutulosten määrä"
"Number of results (For the last time placed)","Viimekertaisen haun tulosten määrä"
"OR","TAI"
"Old Price:","Vanha hinta:"
"Option:","Vaihtoehto:"
"Options","Asetukset"
"Options Control","Vaihtoehtojen hallinta"
"Options is required","Vaihtoehdot vaaditaan"
"Out of Stock","Ei varastossa"
"Out of stock","Ei varastossa"
"PM","IP"
"Page Title Separator","Sivuotsikon erotinmerkki"
"Parent Category","Pääkategoria"
"Pending","Odottaa"
"Pending Reviews RSS","Odottavien arvostelujen RSS-syöte"
"Percentage","Prosenttiosuus"
"Please enter a new group name","Anna uusi ryhmän nimi"
"Please select one or more attributes.","Valitse yksi tai useampi ominaisuus."
"Please select products for attributes update","Valitse ominaisuuksien päivitykselle tuotteet"
"Please specify the product required option(s)","Määritä tuotteen tiedot"
"Please specify the quantity of product(s).","Määritä tuotteiden määrä."
"Please wait...","Ole hyvä ja odota..."
"Position","Sijainti"
"Position of attribute in layered navigation block","Ominaisuuden sijainti kerroksittaisen navigaation sisältölohkossa"
"Prev","Edellinen"
"Previous","Edellinen"
"Price","Hinta"
"Price Type","Hintatyyppi"
"Price values for options should be specified in system base currency.","Hinta-arvot vaihtoehdoille tulee määrittää järjestelmän kantavaluutassa."
"Price:","Hinta:"
"Print This Page","Tulosta tämä sivu"
"Product","Tuote"
"Product Alerts","Tuotehälytykset"
"Product Attribute","Tuotteen attribuutti"
"Product Attributes","Tuotteen attribuutit"
"Product Categories","Tuotekategoriat"
"Product Description","Kuvaus"
"Product ID","Tuotetunnus"
"Product Image Placeholders","Tuotekuvien paikanpitäjät"
"Product Image Watermarks","Tuotekuvien vesileimat"
"Product In Websites","Tuote sivustoilla"
"Product Info Column","Samassa palstassa tuotetietojen kanssa"
"Product Information","Tuotteen tiedot"
"Product Listing Sort by","Tuotelistauksen lajittelu"
"Product Name","Tuotenimi"
"Product Reviews","Tuotteen arvostelut"
"Product Tags","Tuotteen asiasanat"
"Product Type","Tuotteen tyyppi"
"Product URL Suffix","Tuotteen URL-jälkiliite"
"Product is not loaded","Tuotetta ei ole ladattu"
"Product with this combination of attributes already associated to configurable.","Tuote tällä yhdistelmällä on jo ominaisuuksia liitettynä muokattavaan tuotteeseen."
"Products","Tuotteet"
"Products Comparison List","Tuotteiden vertailulista"
"Products Information","Tuotteiden tietoja"
"Products Reviews","Tuotteiden arvostelut"
"Products Sitemap","Tuotteiden sivukartta"
"Products only","Vain tuotteet"
"Products per Page on Grid Allowed Values","Tuotetta per sivu ruudukkotilassa, sallitut arvot"
"Products per Page on Grid Default Value","Tuotetta per sivu ruudukossa, oletusarvo"
"Products per Page on List Allowed Values","Tuotetta per sivu luettelotilassa, sallitut arvot"
"Products per Page on List Default Value","Tuotetta per sivu luettelotilassa, oletusarvo"
"Properties","Ominaisuudet"
"Qty","Määrä"
"Qty Increments","Määräporras"
"Qty Uses Decimals","Määrä käyttää desimaaleja"
"Qty:","Määrä:"
"Quantity","Määrä"
"Quick Create","Nopea luonti"
"Quick Overview","Kuvaus"
"Quick simple product creation","Nopea yksinkertaisen tuotteen luonti"
"Redirect","Uudelleenohjaa"
"Redirect URL","Uudelleenohjausosoite"
"Regular Price:","Normaali hinta:"
"Related Products","Liittyvät tuotteet"
"Remove","Poista"
"Remove Product From Websites","Poista tuote sivustoilta"
"Remove This Item","Poista tämä nimike"
"Reset","Tyhjennä"
"Results","Tulokset"
"Reviews","Arvostelut"
"Roll Over for preview","Aja yli esikatselua varten"
"Root","Juuri"
"SKU","Tuotenro"
"Save","Tallenna"
"Save Attribute","Tallenna attribuutti"
"Save Attribute Set","Tallenna ominaisuuskokoelma"
"Save Category","Tallenna kategoria"
"Save Search","Tallenna haku"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Scope","Kohde"
"Search","Haku"
"Search Engine Optimizations","Hakukoneoptimointi"
"Search Information","Tietoja hausta"
"Search Query","Hakulauseke"
"Search Weight","Haun painotus"
"Searchable","Haettavissa"
"See price before order confirmation.","Katso hinta ennen tilauksen vahvistusta."
"Select Category...","Valitse kategoria..."
"Select Configurable Attributes ","Valitse muokattavat ominaisuudet"
"Select Product...","Valitse tuote..."
"Selected Product Types","Valitut tuotetyypit"
"Send Count","Lähetys laskuri"
"Set Ascending Direction","Aseta nousevaan järjestykseen"
"Set Descending Direction","Aseta laskevaan järjestykseen"
"Set Name","Aseta nimi"
"Set root category for this store in the <a href=""%s"">configuration</a>","Aseta juurikategoria tälle kaupalle <a href=""%s"">asetuksissa</a>"
"Settings","Asetukset"
"Shop By","Rajaa"
"Shopping Options","Listausvalinnat"
"Show","Näytä"
"Show Details","Näytä tiedot"
"Simple Product","Yksinkertainen tuote"
"Site Map","Sivukartta"
"Sitemap","Sivukartta"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ohitetaan rivin tuonti, ""%s"" on virheellinen arvo tietokentälle ""%s"""
"Sort By","Järjestä"
"Sort Order","Lajittelujärjestys"
"Source Model","Lähteen malli"
"Special Price:","Erikoishinta:"
"Starting at:","Alkaen:"
"Static","Staattinen"
"Static block and products","Staattinen lohko ja tuotteet"
"Static block only","Vain staattinen lohko"
"Status","Tila"
"Stock Availability","Saatavuus varastossa"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Stretch","Venytetty"
"Subscribe to RSS Feed","Tilaa RSS-syöte"
"Super product attributes configuration","Supertuotteen ominaisuuksien asetukset"
"Synonym For","Synonyymi sanalle"
"System Properties","Järjestelmäominaisuudet"
"Tag Name","Asiasanan nimi"
"Tax","Vero"
"Template","Malli"
"Text","Teksti"
"There are no %s available.","%s ei ole saatavilla."
"There are no customers for this alert","Tälle hälytykselle ei ole asiakkaita"
"There are no customers for this alert.","Tälle hälytykselle ei ole asiakkaita."
"There are no products matching the selection.","Valintaa vastaavia tuotteita ei ole."
"This attribute cannot be edited.","Tätä attribuuttia ei voi muokata."
"This attribute no longer exists","Tätä ominaisuutta ei enää ole olemassa."
"This attribute set no longer exists.","Attribuuttiryhmää ei ole enää olemassa."
"This group contains system attributes. Please move system attributes to another group and try again.","Tämä ryhmä sisältää järjestelmän ominaisuuksia. Siirrä järjestelmän ominaisuudet toiseen ryhmään ja yritä uudelleen."
"This is a required option","Tämä on vaadittu tieto"
"This search no longer exists.","Tätä hakua ei enää ole."
"Tier Pricing","Määräalennushinnoittelu"
"Tile","Vierekkäin"
"Title","Otsikko"
"To see product price, add this item to your cart. You can always remove it later.","Nähdäksesi tuotteen hinnan, lisää tuote ostoskoriin. Voit aina poistaa sen myöhemmin."
"Top/Left","Ylhäällä/Vasemmalla"
"Top/Right","Yläoikea"
"Type","Tyyppi"
"URL Rewrite Management","URL-uudelleenohjauksien hallinta"
"Unassigned Attributes","Määrittämättömät attribuutit"
"Up-sells","Lisämyynti"
"Update","Päivitä"
"Update Attributes","Päivitä attribuutit"
"Update attributes","Päivitä attribuutit"
"Use Config Settings","Käytä kokoonpanon asetuksia"
"Use Default Value","Käytä oletusarvoa"
"Use Flat Catalog Category","Käytä kategorioiden pakkausta"
"Use Flat Catalog Product","Käytä tuotteiden pakkausta"
"Use In Layered Navigation","Käytä kerroksittaisessa navigaatiossa"
"Use In Search Results Layered Navigation","Käytä hakutulosten kerroksittaisessa navigaatiossa"
"Use JavaScript Calendar","Käytä JavaScript-kalenteria"
"Use To Create Configurable Product","Käytä luodaksesi muokattava tuote"
"Use Tree Like Category Sitemap","Käytä puumaista kategoriasivukarttaa"
"Use config","Käytä kokoonpanon asetuksia"
"Use default","Käytä oletusta"
"Use for Promo Rule Conditions","Käytä mainossäännön ehdoissa"
"Use in Layered Navigation","Käytä kerroksittaisessa navigoinnissa"
"Used for Sorting in Product Listing","Käytetään tuotteen lajittelussa tuotelistauksessa"
"Used in Product Listing","Käytetään tuotelistauksessa"
"Varchar","Merkkijono"
"View Details","Näytä yksityiskohdat"
"View as","Tarkastele"
"Virtual Product","Aineeton tuote"
"Visibility","Näkyvyys"
"Visible","Näkyvissä"
"Visible on Catalog Pages on Front-end","Näkyvillä katalogisivuilla kaupan asiakasnäkymässä"
"Visible on Product View Page on Front-end","Näytetään tuotesivulla asiakasnäkymässä"
"WYSIWYG Editor","WYSIWYG-editori"
"Watermark","Vesileima"
"Watermark Default Size","Vesileiman oletuskoko"
"Watermark Position","Vesileiman paikka"
"We Also Recommend","Suosittelemme myös"
"Website","Sivusto"
"Websites","Sivustot"
"What's this?","Mikä tämä on?"
"Year Range","Vuodet aikavälillä"
"Yes","Kyllä"
"You cannot remove system attribute from this set.","Et voi poistaa järjestelmän ominaisuutta tästä kokoelmasta."
"You have no items to compare.","Sinulla ei vertailtavia tuotteita."
"You may also be interested in the following product(s)","Voisit mahdollisesti olla kiinnostunut seuraavista tuotteista"
"You saved the search term.","Hakutermi on tallennettu."
"Zoom In","Katso lähemmin"
"Zoom Out","Loitonna"
"and","ja"
"and above","ja yli"
"ex. http://domain.com","esim. http://domain.com"
"leave blank if its not an image","jätä tyhjäksi jos kyseessä ei ole kuva"
"per page","per sivu"
"save","tallenna"
"select all","valitse kaikki"
"unselect all","poista kaikki valinnat"
