"Actions","Toiminnot"
"Add Answer","Lisää vastaus"
"Add New Answer","Lisää uusi vastaus"
"Add New Poll","Lisää uusi kysely"
"Answer Title","Vastauksen otsikko"
"Answer Title:","Vastauksen otsikko:"
"Answer with the same title in this poll","Samalla otsikolla on jo vastaus tässä kyselyssä"
"Are you sure you want to delete it?","Haluatko varmasti poistaa sen?"
"Assigned Answers","Asetetut vastaukset"
"Closed","Suljettu"
"Community Poll","Yleisökysely"
"Date Closed","Sulkemispäivä"
"Date Posted","Osallistumispäivä"
"Delete","Poista"
"Delete Answer","Poista vastaus"
"Delete Poll","Poista kysely"
"Edit Answer '%s'","Muokkaa vastausta '%s'"
"Edit Poll '%s'","Muokkaa kyselyä '%s'"
"Edit Poll Answer","Muokkaa kyselyn vastausta"
"ID","Tunnus"
"New Poll","Uusi kysely"
"Number of Responses","Vastausten määrä"
"Open","Avaa"
"Poll Answers","Kyselyn vastaukset"
"Poll Information","Kyselyn tiedot"
"Poll Manager","Kyselyiden hallinnointi"
"Poll Question","Kyselyn kysymys"
"Poll information","Kyselyn tiedot"
"Poll with the same question","Kysely samalla kysymyksellä"
"Save Answer","Tallenna vastaus"
"Save Poll","Tallenna kysely"
"Status","Tila"
"Visible In","Näkyvillä"
"Vote","Äänestä"
"Votes Count","Vastausten määrä"
"Votes Count:","Vastausten määrä:"
