"Actions","Toiminnot"
"Are you sure?","Oletko varma?"
"Date Added","Lisäyspäivämäärä"
"Last Update","Muokattu viimeksi"
"Mark as Read","Merkitse luetuksi"
"Mark as read","Merkitse luetuksi"
"Message","Viesti"
"Messages Inbox","Saapuneet-kansio"
"Notifications","Ilmoitukset"
"Please select messages.","Valitse viestit."
"Read Details","Lisätietoja"
"Remove","Poista"
"Severity","Vakavuus"
"Show List","Näytä lista"
"Show Toolbar","Näytä työkalupalkki"
"The message has been removed.","Viesti on poistettu."
"Update Frequency","Päivitystiheys"
"Use HTTPS to Get Feed","Käytä HTTPS-yhteyttä syötteen haussa"
"Wrong message type","Väärä viestityyppi"
"critical","kriittinen"
"major","merkittävä"
"minor","vähäinen"
"notice","ilmoitus"
