"%s and greater","%s ja suurempi"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d tuote(tta)</strong> löytyi seuraavilla hakuehdoilla"
"Advanced Search","Laajennettu haku"
"All","Kaikki"
"Catalog Advanced Search","Katalogin monipuolinen haku"
"Catalog Search","Katalogin haku"
"Don't see what you're looking for?","Etkö löydä etsimääsi?"
"Go","Hae"
"Go to Home Page","Siirry etusivulle"
"Grid","Ruudukko"
"Home","Etusivu"
"List","Luettelo"
"Maximum Query Length","Hakulausekkeen pituus enintään"
"Maximum Query Words Count","Hakulausekkeen sanojen määrä enintään"
"Minimal Query Length","Hakulausekkeen pituus vähintään"
"Modify your search","Muokkaa hakua"
"No","Ei"
"No items were found using the following search criteria.","Yhtään tuotetta ei löytynyt seuraavilla hakuehdoilla."
"Popular Search Terms","Suosituimmat hakusanat"
"Relevance","Liittyvyys"
"Results","Tulokset"
"Search","Haku"
"Search Settings","Haun asetukset"
"Search Terms","Hakusanat"
"Search Type","Haun tyyppi"
"Search entire store here...","Hae koko sivustosta..."
"Search results for '%s'","Hakutulos haulle '%s'"
"Search results for: '%s'","Hakutulos haulle: '%s'"
"Subscribe to Feed","Tilaa syöte"
"There are no search terms available.","Hakutermejä ei ole saatavilla."
"Yes","Kyllä"
"Your search returns no results.","Ei osumia haulle."
"up to %s","%s asti"
