"Add","Lisää"
"Add New Row","Lisää uusi rivi"
"An error occurred while saving the file(s).","Virhe tiedoston tallennuksessa."
"Availability:","Saatavuus:"
"Back","Takaisin"
"Canceled","Peruutettu"
"Date","Päivämäärä"
"Default Link Title","Oletusarvo linkkien otsikolle"
"Default Maximum Number of Downloads","Oletusarvo latausten enimmäismäärälle"
"Default Sample Title","Oletusarvo näytteiden otsikolle"
"Delete","Poista"
"Disable Guest Checkout if Cart Contains Downloadable Items","Poista vieraana ostaminen käytöstä, jos ostoskori sisältää ladattavia tuotteita"
"Downloadable Information","Ladattavat tiedot"
"Downloadable Product","Ladattava tuote"
"Downloadable Product Options","Ladattavien tuotteiden asetukset"
"Edit","Muokkaa"
"Edit item parameters","Muokkaa tuotteen parametreja"
"Excl. Tax","Veroton"
"File","Tiedosto"
"From:","Alkaen:"
"Gift Message","Lahjaviesti"
"Go to <a href=""%s"">My Downloadable Products</a>","Mene <a href=""%s"">ladattaviin tuotteisiin</a>"
"In stock","Varastossa"
"Incl. Tax","Verollinen"
"Invalid download link type.","Virheellinen latauslinkin tyyppi."
"Invoiced","Laskutettu"
"Links can be purchased separately","Linkit voidaan ostaa erikseen"
"List","Luettelo"
"Max. Downloads","Latausten enimmäismäärä"
"Message:","Viesti:"
"Move","Siirrä"
"My Downloadable Products","Omat ladattavat tuotteeni"
"Open Links in New Window","Avaa linkit uudessa ikkunassa"
"Order #","Tilausnumero"
"Order id cannot be null","Tilausnumero ei voi olla tyhjä"
"Ordered","Tilatut"
"Out of stock","Ei varastossa"
"Pending","Odottaa"
"Please log in to download your product.","Kirjaudu sisään latausta varten."
"Please specify product link(s).","Määrittele tuotteen linkit."
"Price","Hinta"
"Qty","Määrä"
"Refunded","Hyvitetty"
"Remaining Downloads","Jäljellä olevat lataukset"
"Remove","Poista"
"Remove Item","Poista kohde"
"SKU","Tuotenro"
"Sample","Näyte"
"See price before order confirmation.","Katso hinta ennen tilauksen vahvistusta."
"Shareable","Jaettava"
"Shipped","Lähetetty"
"Sort Order","Lajittelujärjestys"
"Start Download","Aloita lataaminen"
"Status","Tila"
"Subtotal","Välisumma"
"The link has expired.","Linkki on vanhentunut."
"Title","Otsikko"
"To:","Vastaanottaja:"
"Unlimited","Rajaton"
"Update","Päivitä"
"Use Default Value","Käytä oletusarvoa"
"View Order","Katso tilaus"
"What's this?","Mikä tämä on?"
"You have not purchased any downloadable products yet.","Et ole vielä ostanut ladattavia tuotteita."
"attachment","liite"
"download","lataa"
"sample","näyte"
