"%s Item(s)","%s tuote(tta)"
"(Shift-)Click or drag to change value","Klikkaa (vaihtonäppäin pohjassa) tai raahaa vaihtaaksesi arvoa"
"- Click on any of the time parts to increase it","- Klikkaa ajan päällä kasvattaaksesi sitä"
"- Hold mouse button on any of the above buttons for faster selection.","- Pidä hiiren nappia pohjassa minkä tahansa yllä olevan painikkeen päällä valitaksesi nopeammin."
"- Use the %s buttons to select month","- Käytä %s -painikkeita valitaksesi kuukauden"
"- Use the %s, %s buttons to select year","- Käytä %s, %s -painikkeita valitaksesi vuoden"
"- or Shift-click to decrease it","- tai klikkaa vaihtonäppäin pohjassa vähentääksesi sitä"
"- or click and drag for faster selection.","- tai klikkaa ja raahaa valitaksesi nopeammin."
"-- Please Select --","--- Valitse ---"
"1 column","1 sarake"
"2 columns with left bar","2 saraketta ja vasen palkki"
"2 columns with right bar","2 saraketta ja oikea palkki"
"3 columns","3 saraketta"
"About the calendar","Tietoja kalenterista"
"Account","Tili"
"All Pages","Kaikki sivut"
"Allow","Salli"
"Close","Sulje"
"Close Window","Sulje ikkuna"
"DHTML Date/Time Selector","DHTML päivämäärän/ajan valitsin"
"Date selection:","Päivämäärän valinta:"
"Default welcome msg!","Oletustervetuliaisviesti!"
"Display %s first","Näytä %s ensimmäisenä"
"Distributed under GNU LGPL. See %s for details.","Julkaistu GNU LGPL -lisenssillä. Katso lisätietoja: %s"
"Drag to move","Raahaa siirtääksesi"
"Empty","Tyhjä"
"For latest version visit: %s","Katso viimeisin versio: %s"
"Go Today","Siirry päivään"
"Help Us to Keep Magento Healthy","Auta meitä pitämään Magento hyväkuntoisena"
"Interface Language","Käyttöliittymän kieli"
"Items %s to %s of %s total","Tuotteet %s-%s / %s"
"Left Column","Vasen sarake"
"Menu","Valikko"
"Next","Seuraava"
"Next month (hold for menu)","Seuraava kuukausi"
"Next year (hold for menu)","Seuraava vuosi"
"Page:","Sivu:"
"Prev. month (hold for menu)","Edellinen kuukausi"
"Prev. year (hold for menu)","Edellinen vuosi"
"Previous","Edellinen"
"Redirecting...","Ohjataan uudelleen..."
"Report All Bugs","Ilmoita kaikista virheistä (bugeista)"
"Right Column","Oikea sarake"
"Search","Haku"
"Select Store","Valitse kauppa"
"Select date","Valitse päivämäärä"
"Show","Näytä"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Tämä on demo-kauppa. Kaupassa tehtyjä tilauksia ei toimiteta."
"Time selection:","Ajan valinta:"
"Time:","Aika:"
"View All","Näytä kaikki"
"Welcome, %s!","Tervetuloa, %s!"
"Your Language","Kielesi"
"Your Language:","Kieli:"
"per page","per sivu"
