"Add","Lisää"
"Allow Gift Messages for Order Items","Salli lahjaviestit tilauksen yksittäisille tuotteille"
"Allow Gift Messages on Order Level","Salli lahjaviestit tilaustasolla"
"Are you sure?","Oletko varma?"
"Cancel","Peruuta"
"Do you have any gift items in your order?","Onko sinulla mitään lahjatuotteita tilauksessasi?"
"Edit","Muokkaa"
"From","Alkaen"
"Gift Message","Lahjaviesti"
"Item %d of %d","Tuote %d / %d"
"Message","Viesti"
"No","Ei"
"Save Gift Message","Tallenna lahjaviesti"
"To","Asti"
"Unknown entity type","Tuntematon entiteettityyppi"
"Use config","Käytä kokoonpanon asetuksia"
"Yes","Kyllä"
