"Action","Toiminto"
"Add Sitemap","Lisää sivukartta"
"Always","Aina"
"CMS Pages Options","Sisällönhallintajärjestelmän sivujen vaihtoehdot"
"Categories Options","Kategorioiden vaihtoehdot"
"Daily","Päivittäinen"
"Edit Sitemap","Muokkaa sivukarttaa"
"Enabled","Käytössä"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin pohja"
"Filename","Tiedostonimi"
"Frequency","Tiheys"
"Generate","Luo"
"Generation Settings","Luomisen asetukset"
"Google Sitemap","Google-sivukartta"
"Hourly","Tunneittain"
"ID","Tunnus"
"Last Time Generated","Muodostettu viimeksi"
"Link for Google","Linkki Googlea varten"
"Monthly","Kuukausittain"
"Never","Ei koskaan"
"New Sitemap","Uusi sivukartta"
"Path","Polku"
"Priority","Prioriteetti"
"Products Options","Tuotteiden asetukset"
"Sitemap","Sivukartta"
"Sitemap generate Warnings","Sivukartan luomat varoitukset"
"Start Time","Aloitusaika"
"Store View","Kauppanäkymä"
"The priority must be between 0 and 1.","Prioriteetin on oltava välillä 0 ja 1."
"This sitemap no longer exists.","Tätä sivukarttaa ei ole enää olemassa."
"Weekly","Viikottain"
"Yearly","Vuosittain"
