"Authorize Only","Varmenna ainoastaan"
"Authorize and Capture","Valtuuta ja talteenota"
"Continue Shopping","Jatka ostoksia"
"Debug","Vianselvitys"
"Email Sender","Sähköpostin Lähettäjä"
"Enable","Käytä"
"Merchant ID","Kauppias-ID"
"Merchant Login","Kauppiaan käyttäjätunnus"
"New Order Status","Uuden tilauksen tila"
"Payment Action","Maksutoiminto"
"Sandbox","Testiympäristö"
"Thank you for your purchase!","Kiitos ostoksestasi!"
"Title","Otsikko"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Saat sähköpostissa tilausvahvistuksen ja linkin josta voit seurata tilauksesi etenemistä."
