"Add Recipient","Lisää vastaanottaja"
"Allow for Guests","Salli vieraille"
"Back","Takaisin"
"Email Address","Sähköpostiosoite"
"Email Address:","Sähköpostiosoite:"
"Email Templates","Sähköpostimallit"
"Email to a Friend","Sähköpostita kaverille"
"Email:","Sähköposti:"
"Enabled","Käytössä"
"Limit Sending By","Lähettämisen rajaus"
"Max Products Sent in 1 Hour","Tuotteiden enimmäismäärä tunnin sisällä"
"Max Recipients","Vastaanottajien enimmäismäärä"
"Maximum %d email addresses allowed.","Enintään %d sähköpostiosoitetta sallitaan."
"Message:","Viesti:"
"Name","Nimi"
"Name:","Nimi:"
"Recipient:","Vastaanottaja:"
"Remove Email","Poista sähköposti"
"Select Email Template","Valitse sähköpostimalli"
"Send Email","Lähetä sähköposti"
"Send product to a friend","Lähetä tuotetieto kaverille"
"Sender:","Lähettäjä:"
"Some emails were not sent.","Joitain sähköposteja ei lähetetty."
"The link to a friend was sent.","Linkki kaverille lähetettiin."
