"Actions","Toiminnot"
"Active","Aktiivinen"
"Add New Rule","Lisää uusi sääntö"
"Apply","Käytä"
"Apply Rules","Käytä sääntöjä"
"Attribute Set","Attribuuttiryhmä"
"By Fixed Amount","Kiinteällä määrällä"
"Catalog","Katalogi"
"Catalog Price Rule","Tuoteluettelon hintasääntö"
"Catalog Price Rules","Tuoteluettelon hintasäännöt"
"Category","Kategoria"
"Conditions","Ehdot"
"Conditions (leave blank for all products)","Ehdot (jätä tyhjäksi kun valitset kaikki tuotteet)"
"Conditions Combination","Ehtojen yhdistäminen"
"Customer Groups","Asiakasryhmät"
"Date Expire","Eräpäivä"
"Date From","Pvm alkaen"
"Date Start","Alkamispäivä"
"Date To","Pvm päättyen"
"Description","Kuvaus"
"Discount Amount","Alennuksen määrä"
"Edit Rule","Muokkaa sääntöä"
"Edit Rule '%s'","Muokkaa Sääntöä '%s'"
"Expiration Date","Viimeinen voimassaolopäivä"
"From Date","Päivämäärästä"
"General Information","Yleistä"
"ID","Tunnus"
"Inactive","Ei käytössä"
"New Rule","Uusi sääntö"
"No","Ei"
"Options","Asetukset"
"Priority","Prioriteetti"
"Product Attribute","Tuotteen attribuutti"
"Promotions","Myynninedistäminen"
"Rule Information","Säännön tiedot"
"Rule Name","Säännön nimi"
"Save and Apply","Tallenna ja käytä"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Start Date","Alkamispäivä"
"Status","Tila"
"This rule no longer exists.","Tätä sääntöä ei ole enää olemassa."
"To Date","Päivämäärään"
"To Fixed Amount","Kiinteään summaan/määrään"
"Type","Tyyppi"
"Update product's %s %s: %s","Päivitä tuotteen %s %s: %s"
"Website","Sivusto"
"Websites","Sivustot"
"Yes","Kyllä"
