"Action","Toiminto"
"Are you sure you want to delete the selected backup(s)?","Oletko varma että haluat poistaa valitut varmuuskopiot?"
"Backups","Varmuuskopiot"
"Create Backup","Luo varmuuskopio"
"Database","Tietokanta"
"Database Backup","Tietokannan varmuuskopiointi"
"Database and Media","Tietokanta ja media"
"Database and Media Backup","Tietokannan ja median varmuuskopiointi"
"Database was successfuly backed up.","Tietokannasta luotiin varmuuskopio."
"Download","Lataa"
"Enable Scheduled Backup","Ota ajoitettu varmuuskopiointi käyttöön"
"Frequency","Tiheys"
"Maintenance Mode","Huoltotila"
"Name","Nimi"
"Rollback","Palautus"
"Start Time","Aloitusaika"
"System","Järjestelmä"
"System (excluding Media)","Järjestelmä (poislukien media)"
"System Backup","Järjestelmän varmuuskopiointi"
"Time","Aika"
"Type","Tyyppi"
"Unable to create backup. Please, try again later.","Varmuuskopiota ei voida luoda. Yritä myöhemmin uudelleen."
