"API Login ID","API kirjautumis ID"
"Accepted Currency","Hyväksytty valuutta"
"Authorize Only","Varmenna ainoastaan"
"Authorize and Capture","Valtuuta ja talteenota"
"Cancel","Peruuta"
"Credit Card Types","Luottokorttityypit"
"Credit Card Verification","Luottokortti varmennus"
"Debug","Vianselvitys"
"Email Customer","Lähettä asiakalle sähköposti"
"Enabled","Käytössä"
"Invalid amount for authorization.","Virheellinen summa."
"Invalid amount for capture.","Virheellinen hyvityssumma."
"Invalid amount for refund.","Virheellinen hyvityssumma."
"Maximum Order Total","Maksimitilausmäärä"
"Merchant's Email","Myyjän sähköposti"
"Minimum Order Total","Vähimmäistilausmäärä"
"New Order Status","Uuden tilauksen tila"
"Payment Action","Maksutoiminto"
"Payment authorization error.","Virhe maksun varmentamisessa."
"Payment capturing error.","Maksun talteenoton virhe."
"Payment from Applicable Countries","Maksu mahdollisista maista"
"Payment from Specific Countries","Maksu mahdollisista maista"
"Payment refunding error.","Virhe maksun palautuksessa."
"Payment voiding error.","Virhe maksun mitätöinnissä."
"Sort Order","Lajittelujärjestys"
"Test Mode","Testitila"
"Title","Otsikko"
"Transaction Key","Maksutapahtuma-avain"
"authorize","valtuuta"
"authorize and capture","valtuuta ja talteenota"
"capture","talteenota"
"failed","epäonnistui"
"refund","hyvitä"
"successful","onnistui"
"void","mitätön"
