"* Required Fields","* Pakolliset kentät"
"-- Select --","-- Valitse --"
"Add New Option","Lisää uusi vaihtoehto"
"Add Selection","Lisää valinta"
"As Low as","Alkaen"
"As low as","Alkaen"
"Bundle Items","Pakettituotteet"
"Bundle Product","Yhdistelmätuote"
"Buy %1$s for %2$s","Osta %1$s hintaan %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Osta %1$s hintaan %2$s (%3$s sis. verot) /kpl"
"Buy %1$s for %2$s each","Osta %1$s hintaan %2$s /kpl"
"Checkbox","Valintaruutu"
"Choose a selection...","Valitse..."
"Click for price","Klikkaa nähdäksesi hinnan"
"Close","Sulje"
"Default","Oletus"
"Default Qty","Oletusmäärä"
"Default Title","Oletusotsikko"
"Drop-down","Pudotusvalikko"
"Dynamic","Dynaaminen"
"Excl. Tax","Veroton"
"Excl. Tax:","Veroton:"
"Fixed","Kiinteä"
"From","Alkaen"
"From:","Alkaen:"
"Gift Message","Lahjaviesti"
"Incl. Tax","Verollinen"
"Incl. Tax:","Verollinen:"
"Input Type","Syötteen tyyppi"
"Is Required","Vaadittu"
"Message:","Viesti:"
"Multiple Select","Monivalinta"
"N/A","Ei tietoa"
"None","Poista valinnat"
"Percent","Prosenttia"
"Percent Discount","Alennusprosentti"
"Please enter a number greater 0 in this field.","Syötä nollaa (0) suurempi numero tähän kenttään."
"Please enter search conditions to view products.","Syötä hakuehdot nähdäksesi tuotteet."
"Please select options for product.","Valitse tuotteen ominaisuudet."
"Position","Sijainti"
"Price Range","Hintahaarukka"
"Price Type","Hintatyyppi"
"Price as configured","Kokoonpanon hinta"
"Qty:","Määrä:"
"Radio Buttons","Valintanapit"
"SKU","Tuotenro"
"Separately","Erikseen"
"Ship Bundle Items","Lähetä osat"
"Shipment","Lähetys"
"Store View Title","Kauppanäkymän otsikko"
"To","Asti"
"To:","Vastaanottaja:"
"Together","Yhdessä"
"Use Default Value","Käytä oletusarvoa"
"User Defined Qty","Käyttäjä syöttää määrän"
"and","ja"
"save","tallenna"
